furry_status,age,gender,gender_alignment,orientation,country,religion,occupation,education,howfurry,howoften_write,howoften_draw,opinion_artwork,opinion_writing,opinion_online_communities,opinion_conventions,opinion_fursuiting,importance_artwork,importance_writing,importance_online_communities,importance_conventions,importance_fursuiting
furry,32,"Female, completely",transgender,Mostly heterosexual,us,Atheist,student,ongoing_postcollege,6,Never,Never,7,8,,9,10,10,6,10,9,7
furry,19,"Male, completely",cisgender,Bisexual,us,Atheist,student,ongoing_highschool,,Less than once a year,Never,10,7,,,10,8,8,9,7,6
Other,19,"Female, completely",cisgender,Asexual,us,Atheist,student,ongoing_highschool,3,,,8,5,,7,7,10,10,10,10,10
furry,14,"Male, completely",transgender,Bisexual,xx,"Christian, Catholic",student,Other,5,Never,Less than once a year,10,5,,3,10,10,10,5,5,10
furry,37,"Male, completely",cisgender,Bisexual,ca,Atheist,technical_it,graduate_university,8,Yearly,Less than once a year,9,9,,7,7,10,8,10,8,7
furry_adjacent,22,"Male, completely",transgender,Bisexual,us,Buddhist,student,technical_college,7,Never,Never,10,10,,10,10,10,7,5,9,9
furry_adjacent,22,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Catholic",student,technical_college,8,Several times a year,Weekly,10,3,,2,1,7,8,8,5,3
fur_fan,22,"Male, completely",cisgender,Completely heterosexual,pl,Atheist,student,ongoing_university,5,Never,Never,10,8,,8,7,10,7,10,7,5
furry,26,"Male, completely",cisgender,Completely homosexual,us,Atheist,unemployed,graduate_university,7,Never,Never,10,10,,10,10,10,10,10,10,10
furry,19,"Female, completely",transgender,,us,Agnostic,student,ongoing_highschool,5,Never,Never,8,5,,3,7,9,4,10,8,8
furry,42,"Male, completely",cisgender,Asexual,us,Agnostic,service,graduate_university,8,Never,Never,10,8,,10,10,10,9,10,10,10
furry,24,"Male, completely",complicated,"Bisexual, leaning heterosexual",us,Agnostic,student,graduate_university,5,Yearly,Monthly,10,9,,5,6,10,8,10,10,10
furry,25,"Male, completely",cisgender,Asexual,dk,Atheist,Other,advanced_degree,8,Less than once a year,Less than once a year,10,9,,10,10,10,8,10,9,9
furry,27,Mostly male,complicated,Mostly homosexual,ca,,unemployed,graduate_university,9,Never,Never,10,7,,10,10,10,8,10,10,10
furry,30,"Female, completely",cisgender,Mostly heterosexual,us,Atheist,creative_nonfurry,graduate_university,6,Never,Several times a year,10,8,,10,10,10,7,9,10,10
furry,23,Mostly male,cisgender,Bisexual,ca,Atheist,student,ongoing_university,6,Never,Less than once a year,8,7,,9,9,7,4,9,7,8
furry,21,Mostly male,cisgender,Asexual,us,"Christian, Protestant",student,ongoing_university,8,Several times a month,Monthly,9,8,,5,8,8,7,10,8,7
furry,24,"Male, completely",cisgender,Bisexual,us,Agnostic,student,ongoing_university,7,Never,Never,9,8,,7,7,9,5,9,7,7
Other,18,Mostly male,complicated,"Bisexual, leaning homosexual",gb,Agnostic,student,ongoing_highschool,5,Several times a month,Several times a month,10,10,,10,10,10,10,10,10,10
furry,35,"Male, completely",cisgender,Mostly homosexual,us,,technical_it,some_university,4,Less than once a year,Never,10,10,,8,9,10,5,8,10,10
furry,33,"Male, completely",cisgender,Completely homosexual,mg,Agnostic,service,graduate_university,7,Several times a month,Several times a month,8,8,,5,5,10,5,9,6,6
furry_lifestyler,27,Mostly male,complicated,Pansexual,ca,Atheist,technical_it,technical_college,8,Never,Less than once a year,9,8,,7,8,10,9,10,9,10
furry,28,"Female, completely",cisgender,Mostly heterosexual,ca,Atheist,administrative,graduate_university,7,Never,Daily,10,,,9,7,10,7,10,10,9
furry,23,"Male, completely",cisgender,Completely homosexual,us,Atheist,Other,ongoing_university,6,Never,Never,7,7,,6,3,10,8,10,8,7
furry,36,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,,technical_it,graduate_university,3,Monthly,Never,9,10,,8,5,10,7,9,10,10
furry,22,"Male, completely",cisgender,Completely homosexual,nl,Atheist,student,ongoing_university,7,Several times a year,Never,7,8,,9,10,3,3,6,10,10
furry,21,"Male, completely",cisgender,Bisexual,us,Atheist,student,ongoing_university,8,Never,Never,10,10,,10,10,10,7,10,10,9
furry,28,"Male, completely",,"Bisexual, leaning homosexual",us,Agnostic,sales_support,graduate_university,8,Monthly,Several times a year,8,9,,8,5,10,9,10,8,4
furry,29,"Male, completely",cisgender,Asexual,us,"Christian, Catholic",technical_it,graduate_university,8,Never,Never,10,8,,9,9,9,8,10,9,7
furry,47,"Male, completely",cisgender,Completely homosexual,us,"Christian, Protestant",professional,graduate_university,8,Less than once a year,Less than once a year,8,3,,7,6,9,2,8,9,7
furry,27,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Protestant",unemployed,technical_college,3,Several times a month,Never,10,7,,,,10,8,10,9,9
furry,31,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Buddhist,student,ongoing_postcollege,6,Monthly,Never,10,10,,10,10,9,10,10,8,7
furry,0,"Male, completely",cisgender,Asexual,us,"Christian, Protestant",student,ongoing_university,7,Daily,Several times a year,9,9,,9,9,,,,,
furry,1,"Female, completely",transgender,Asexual,us,,Other,graduate_postcollege,7,Several times a year,Never,8,8,,8,8,8,8,8,8,8
furry,25,"Male, completely",cisgender,Completely homosexual,us,,service,graduate_highschool,6,Never,Several times a year,9,6,,5,6,10,5,10,7,8
furry,27,"Male, completely",cisgender,Mostly homosexual,us,,unemployed,some_highschool,6,Less than once a year,Monthly,10,10,,10,10,10,8,10,10,10
furry,36,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Protestant",service,ongoing_university,8,Weekly,Never,10,10,,10,10,10,3,10,10,10
furry_adjacent,24,"Male, completely",cisgender,Bisexual,gb,Agnostic,student,ongoing_university,2,Never,Never,7,5,,5,5,10,4,10,10,8
furry,30,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Agnostic,professional,some_university,5,Never,Never,10,10,,8,8,5,5,5,5,5
furry,26,"Male, completely",cisgender,Mostly homosexual,us,Atheist,vet_animal_related,some_university,7,Less than once a year,Less than once a year,8,5,,8,8,7,4,10,9,10
furry,25,"Male, completely",cisgender,Completely homosexual,us,"Christian, Protestant",student,ongoing_university,7,Several times a month,Weekly,10,10,,10,2,10,10,10,10,6
furry,19,"Male, completely",cisgender,Mostly heterosexual,ru,Agnostic,student,ongoing_university,9,Never,Monthly,9,7,,9,10,10,7,9,9,10
furry,25,"Male, completely",cisgender,Mostly homosexual,gb,Atheist,student,ongoing_university,8,Never,Never,10,9,,9,8,10,8,9,7,7
furry,24,"Male, completely",cisgender,Bisexual,gb,Agnostic,sales_support,graduate_university,7,Daily,Several times a month,8,6,,5,5,10,10,9,10,10
furry,26,"Male, completely",cisgender,Mostly homosexual,gb,Agnostic,administrative,advanced_degree,9,Daily,Monthly,9,9,,9,9,9,9,9,8,7
furry,47,"Male, completely",cisgender,Bisexual,us,Agnostic,technical_it,some_university,8,Less than once a year,Never,8,8,,8,8,,,,,
furry,33,Mostly male,cisgender,Mostly heterosexual,us,Agnostic,technical_it,graduate_university,7,Weekly,Never,7,9,,10,10,8,10,10,10,9
furry,27,"Male, completely",cisgender,Mostly heterosexual,gb,Atheist,professional,graduate_postcollege,5,Less than once a year,Never,8,6,,8,5,7,5,10,8,7
furry,26,Genderqueer/genderfluid,transgender,Pansexual,us,Atheist,administrative,graduate_university,8,Weekly,Never,8,9,,9,9,8,8,10,9,8
furry,48,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,government_armed_service,advanced_degree,5,Several times a year,Several times a year,10,10,,10,7,10,9,10,10,8
furry,26,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,technical_it,some_university,8,Several times a year,Several times a year,9,7,,8,9,10,7,10,9,7
furry,31,"Male, completely",cisgender,Bisexual,us,"Christian, Protestant",creative_furry,graduate_university,9,Weekly,Daily,10,7,,6,7,10,10,6,8,7
furry,26,Mostly female,complicated,Pansexual,us,Agnostic,government_armed_service,some_university,8,Never,Several times a year,10,6,,8,8,8,8,10,8,7
furry,34,Genderqueer/genderfluid,,"Bisexual, leaning homosexual",gb,Pagan,technical_it,graduate_university,6,Less than once a year,Less than once a year,9,8,,8,9,9,8,10,8,8
furry,23,"Male, completely",cisgender,Asexual,us,"Christian, Protestant",student,ongoing_university,7,Yearly,Less than once a year,10,10,,8,8,10,9,8,7,6
furry,26,"Male, completely",cisgender,Mostly homosexual,us,Atheist,vet_animal_related,some_university,6,Less than once a year,Yearly,7,4,,7,7,9,4,10,10,10
furry,31,"Male, completely",cisgender,Mostly heterosexual,us,,creative_nonfurry,graduate_university,7,Less than once a year,Never,10,7,,10,10,10,6,10,10,10
furry,28,"Male, completely",cisgender,Bisexual,ch,Pagan,technical_it,technical_college,8,Never,Never,8,6,,9,5,10,5,9,8,1
furry,40,"Male, completely",cisgender,Mostly homosexual,fr,"Christian, Protestant",professional,advanced_degree,8,Several times a year,Less than once a year,8,8,,8,7,10,7,10,9,9
furry,26,"Male, completely",cisgender,Completely homosexual,us,"Christian, Protestant",student,some_university,9,Never,Never,10,10,,5,5,10,10,10,10,10
furry,21,"Male, completely",cisgender,Mostly heterosexual,us,Pagan,student,ongoing_university,9,Monthly,Monthly,10,10,,9,6,9,9,10,9,6
furry,17,"Male, completely",cisgender,Completely homosexual,gb,,student,ongoing_highschool,8,Never,Never,8,9,,7,10,10,6,5,10,10
furry,31,Mostly male,cisgender,"Bisexual, leaning homosexual",us,Agnostic,technical_it,ongoing_university,5,Never,Never,10,10,,10,10,10,10,10,10,10
furry,31,Mostly female,cisgender,Mostly heterosexual,gb,Agnostic,administrative,graduate_university,6,Several times a year,Weekly,9,5,,6,7,10,6,10,6,6
fur_fan,24,"Male, completely",cisgender,Pansexual,gb,Agnostic,sales_support,some_university,4,Never,Never,10,6,,7,7,9,6,10,10,10
furry,31,Mostly female,cisgender,"Bisexual, leaning heterosexual",gb,,technical_it,graduate_university,5,Less than once a year,Several times a month,10,10,,7,4,10,8,10,9,10
furry,34,"Male, completely",cisgender,Mostly homosexual,us,,technical_it,graduate_university,8,Never,Never,10,3,,8,8,10,10,10,8,8
furry,20,"Male, completely",cisgender,Completely homosexual,us,"Christian, Catholic",student,ongoing_highschool,8,Less than once a year,Never,8,10,,10,10,10,6,10,10,10
furry,22,Mostly male,cisgender,Mostly homosexual,us,Atheist,creative_furry,graduate_highschool,7,Monthly,Monthly,8,7,,,,9,9,10,8,4
furry,28,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Protestant",student,graduate_university,8,Never,Never,10,9,,9,8,10,9,10,9,9
furry,16,"Female, completely",cisgender,Bisexual,gb,Buddhist,student,ongoing_highschool,8,Several times a year,Weekly,10,9,,,10,9,5,10,9,9
furry_adjacent,22,Mostly male,cisgender,Asexual,us,Agnostic,student,ongoing_university,3,Never,Never,8,,,,7,10,6,10,10,10
furry,24,"Female, completely",cisgender,Asexual,gb,Atheist,sales_support,graduate_university,9,Never,Never,10,10,,10,10,10,10,10,10,10
furry_adjacent,31,"Female, completely",cisgender,Pansexual,us,Agnostic,Other,graduate_highschool,6,Several times a month,Several times a year,10,10,,8,8,10,10,10,7,6
furry,27,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",service,Other,7,Less than once a year,Yearly,10,9,,8,10,10,9,10,8,8
furry,33,"Female, completely",cisgender,Bisexual,gb,Pagan,Other,Other,9,Never,Never,9,9,,9,5,9,9,9,7,7
furry,30,Mostly female,transgender,Completely homosexual,us,Atheist,student,ongoing_university,6,Never,Never,10,7,,10,10,10,6,10,10,8
furry,35,"Male, completely",cisgender,Completely homosexual,us,Atheist,technical_it,graduate_university,8,Less than once a year,Never,10,9,,10,10,9,8,10,9,9
furry,27,"Male, completely",cisgender,Mostly heterosexual,is,Atheist,student,some_highschool,8,Several times a year,Daily,10,10,,10,10,10,5,7,8,5
furry,18,"Female, completely",cisgender,Mostly homosexual,us,Atheist,student,ongoing_highschool,6,Never,Several times a month,10,4,,10,10,8,1,7,8,5
furry,17,"Male, completely",cisgender,Mostly homosexual,us,Atheist,student,ongoing_highschool,5,Several times a year,Never,9,9,,7,8,10,10,10,9,10
furry,30,"Male, completely",cisgender,Bisexual,ie,Agnostic,administrative,some_university,8,Less than once a year,Never,7,9,,10,10,10,7,9,10,9
fur_fan,16,"Male, completely",cisgender,Completely heterosexual,us,Agnostic,student,ongoing_highschool,8,Never,Weekly,10,5,,8,9,10,10,10,10,10
furry,25,"Female, completely",cisgender,Completely heterosexual,us,Agnostic,sales_support,graduate_university,8,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,35,"Male, completely",cisgender,Completely homosexual,us,Agnostic,professional,some_university,5,Never,Weekly,9,8,,9,8,9,8,10,9,6
furry,32,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Pagan,professional,technical_college,7,Never,Never,10,5,,2,1,10,4,8,2,1
furry,19,"Male, completely",cisgender,Mostly heterosexual,us,"Christian, Catholic",student,graduate_highschool,7,Never,Monthly,10,9,,,8,8,7,10,10,7
fur_fan,20,"Male, completely",cisgender,Mostly homosexual,au,Atheist,student,ongoing_university,5,Several times a month,Yearly,8,9,,5,3,9,8,8,7,5
furry,30,"Female, completely",cisgender,Mostly heterosexual,gb,Atheist,administrative,graduate_university,5,Less than once a year,Several times a year,9,8,,10,10,10,5,9,9,6
furry,34,"Male, completely",cisgender,Completely heterosexual,us,Atheist,student,ongoing_university,6,Several times a month,Several times a month,10,7,,10,10,10,8,8,10,10
furry,26,"Female, completely",cisgender,Asexual,xx,Atheist,sales_support,technical_college,8,Less than once a year,Daily,10,10,,10,10,10,10,10,10,10
furry,21,Mostly female,cisgender,Mostly heterosexual,us,"Christian, Orthodox",sales_support,technical_college,6,Never,Daily,10,8,,10,10,9,7,10,9,9
furry,17,"Male, completely",cisgender,"Bisexual, leaning homosexual",gb,"Christian, Catholic",student,ongoing_highschool,6,Weekly,Never,10,9,,10,10,10,10,9,10,10
furry,55,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,technical_it,some_university,6,Never,Several times a month,9,6,,9,9,9,6,8,8,9
furry,22,"Female, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,sales_support,graduate_highschool,10,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,21,Non-binary (not otherwise specified),complicated,Pansexual,us,Agnostic,creative_furry,graduate_highschool,7,,Weekly,9,,,,9,10,6,9,9,9
furry,32,Mostly male,transgender,Mostly homosexual,us,"Christian, Protestant",Other,graduate_highschool,7,Several times a year,Daily,10,10,,7,5,10,10,10,10,10
furry_adjacent,26,"Female, completely",cisgender,Completely heterosexual,us,,Other,graduate_university,8,Never,Never,8,5,,9,10,10,5,9,10,10
furry,37,"Male, completely",cisgender,Pansexual,us,,administrative,graduate_university,8,Several times a year,Yearly,10,8,,10,10,10,7,9,10,10
furry,17,"Male, completely",cisgender,Completely homosexual,us,"Christian, Catholic",student,ongoing_highschool,7,Several times a year,Monthly,10,9,,9,9,10,10,10,10,10
furry,21,"Male, completely",cisgender,Completely homosexual,us,,student,technical_college,6,Yearly,Daily,8,8,,4,5,,,,,
furry,37,"Female, completely",cisgender,Asexual,us,Atheist,creative_furry,graduate_university,8,Never,Weekly,10,8,,9,9,10,6,10,9,8
furry,18,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,"Christian, Protestant",student,ongoing_highschool,8,Monthly,Yearly,10,8,,9,9,10,10,10,10,10
furry,0,"Male, completely",cisgender,Bisexual,us,Atheist,administrative,some_university,7,Several times a year,Yearly,9,8,,8,6,9,8,8,9,7
furry,17,"Female, completely",cisgender,Mostly heterosexual,us,"Christian, Catholic",student,ongoing_highschool,7,Never,Several times a month,8,4,,6,7,9,3,9,6,8
furry_lifestyler,32,"Male, completely",cisgender,Completely homosexual,ca,Atheist,technical_it,graduate_highschool,10,Never,Never,10,7,,9,10,9,6,10,8,9
furry,18,"Male, completely",cisgender,"Bisexual, leaning homosexual",gb,Atheist,student,ongoing_highschool,8,Never,Monthly,9,6,,6,8,10,10,10,10,9
furry_adjacent,18,"Male, completely",cisgender,"Bisexual, leaning heterosexual",gb,Agnostic,student,Other,4,Never,Weekly,8,6,,8,4,10,8,8,10,6
fur_fan,47,"Male, completely",cisgender,Completely heterosexual,us,Atheist,technical_it,graduate_university,2,Never,Never,10,3,,8,8,10,7,10,8,4
furry,21,"Male, completely",cisgender,Completely heterosexual,us,,student,ongoing_university,7,Never,Weekly,10,5,,8,8,9,6,10,9,8
furry,23,"Male, completely",cisgender,Pansexual,us,Buddhist,student,some_highschool,7,Never,Several times a month,10,10,,10,10,10,7,10,9,9
furry,21,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",service,graduate_highschool,4,Never,Never,9,6,,8,8,10,8,9,10,10
furry,30,"Male, completely",cisgender,Mostly homosexual,us,Atheist,technical_it,technical_college,6,Several times a year,Weekly,8,7,,8,7,9,6,7,8,10
furry,19,"Female, completely",transgender,Pansexual,us,"Christian, Protestant",student,ongoing_highschool,6,Several times a year,Less than once a year,5,7,,7,3,10,10,10,8,5
furry_adjacent,27,"Female, completely",cisgender,"Bisexual, leaning heterosexual",us,Pagan,administrative,graduate_university,7,Never,Several times a month,10,3,,8,10,10,3,10,10,10
furry_adjacent,23,"Male, completely",cisgender,Completely heterosexual,gb,Atheist,sales_support,graduate_university,2,Never,Never,9,2,,4,9,10,5,10,10,10
furry,31,"Male, completely",cisgender,Completely homosexual,us,"Christian, Protestant",student,graduate_postcollege,6,Never,Never,10,8,,10,10,10,8,10,10,10
furry,30,"Male, completely",cisgender,Mostly heterosexual,us,Atheist,sales_support,graduate_university,6,Less than once a year,Never,10,9,,9,9,10,8,10,10,10
furry,39,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,,sales_support,graduate_highschool,6,Never,Never,10,10,,9,8,9,9,8,10,9
fur_fan,59,Mostly male,cisgender,Mostly heterosexual,us,Agnostic,sales_support,graduate_university,5,Yearly,Yearly,8,8,,8,4,10,10,7,10,5
furry,27,"Male, completely",cisgender,Completely heterosexual,us,,Other,graduate_university,3,Never,Never,10,3,,6,6,10,1,10,7,7
Other,27,"Male, completely",cisgender,Mostly heterosexual,gb,Atheist,student,ongoing_postcollege,1,,,6,6,,4,5,8,8,8,6,6
furry,29,"Male, completely",cisgender,"Bisexual, leaning homosexual",no,,unemployed,some_university,7,Several times a month,Yearly,10,5,,5,5,10,10,10,10,5
furry,28,"Male, completely",cisgender,Mostly heterosexual,gb,Atheist,Other,graduate_university,6,Never,Yearly,10,6,,9,10,9,4,10,8,10
furry,22,"Male, completely",cisgender,Asexual,de,Agnostic,government_armed_service,graduate_highschool,3,Never,Monthly,8,9,,6,7,10,7,10,8,8
postfurry,24,"Female, completely",transgender,Bisexual,gb,Atheist,student,ongoing_university,6,Yearly,Several times a year,7,5,,6,7,10,5,6,8,9
furry_adjacent,27,"Male, completely",cisgender,Mostly heterosexual,us,,creative_furry,graduate_highschool,8,Never,Daily,8,5,,8,7,10,10,10,9,5
furry_adjacent,33,"Male, completely",transgender,Completely homosexual,gb,Agnostic,creative_furry,technical_college,3,Monthly,Daily,10,10,,10,10,10,10,10,10,10
furry,27,Genderqueer/genderfluid,transgender,Pansexual,ca,Agnostic,sales_support,graduate_highschool,7,Never,Never,10,10,,,,10,8,10,9,7
furry_adjacent,31,"Male, completely",cisgender,Mostly heterosexual,us,Atheist,vet_animal_related,graduate_university,2,,,,,,,,,,,,
fur_fan,34,"Male, completely",cisgender,Completely heterosexual,us,Agnostic,government_armed_service,technical_college,3,Never,Several times a month,9,5,,7,10,9,6,9,7,6
furry,36,"Female, completely",cisgender,Bisexual,ca,Pagan,Other,technical_college,6,Several times a year,Weekly,10,9,,8,8,10,8,8,8,9
furry,27,"Male, completely",cisgender,Bisexual,gb,Atheist,technical_it,graduate_university,7,Never,Never,10,9,,9,6,10,6,8,9,8
furry,22,"Male, completely",cisgender,Other,jp,Pagan,student,ongoing_university,7,Never,Several times a year,10,10,,8,8,10,6,7,6,6
furry,20,"Male, completely",cisgender,Mostly heterosexual,us,,student,ongoing_university,8,Never,Never,10,,,9,8,9,9,9,9,9
furry,18,"Male, completely",cisgender,Bisexual,us,Atheist,student,ongoing_highschool,8,Several times a year,Monthly,10,10,,7,6,10,9,10,10,9
furry,18,"Male, completely",cisgender,Asexual,us,"Christian, Catholic",student,ongoing_highschool,10,Several times a year,Daily,10,7,,10,10,10,6,8,10,10
fur_fan,22,"Male, completely",cisgender,"Bisexual, leaning homosexual",de,Atheist,student,graduate_highschool,5,Never,Never,9,7,,10,10,9,6,9,10,10
furry,26,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,technical_it,graduate_university,7,Never,Several times a year,10,,,6,10,9,7,8,10,10
furry,17,"Male, completely",cisgender,Completely heterosexual,us,Muslim,student,ongoing_highschool,7,Never,Never,9,8,,7,6,7,7,10,10,5
furry,20,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,,student,ongoing_highschool,4,Never,Monthly,10,10,,10,10,10,5,10,8,9
furry,22,"Male, completely",cisgender,Completely heterosexual,us,Atheist,unemployed,graduate_highschool,6,Never,,10,,,,9,8,8,8,7,8
Other,0,"Male, completely",cisgender,Completely heterosexual,ca,Atheist,student,ongoing_highschool,2,,,,,,,,9,10,7,10,10
furry_adjacent,18,"Female, completely",cisgender,"Bisexual, leaning heterosexual",br,,student,ongoing_highschool,6,Never,Daily,10,5,,5,7,10,8,10,7,8
nonfurry,20,"Male, completely",cisgender,Completely heterosexual,us,,,,,Never,Never,1,1,,3,1,10,10,10,10,10
furry,19,"Male, completely",cisgender,Pansexual,de,Atheist,student,ongoing_university,3,Never,Several times a year,10,6,,9,10,10,4,10,10,9
furry,17,"Male, completely",cisgender,Bisexual,us,Agnostic,student,ongoing_highschool,7,Monthly,Daily,10,9,,8,9,10,9,10,7,8
furry,56,"Male, completely",cisgender,Other,us,Agnostic,retired,some_university,9,Daily,Never,2,7,,10,10,9,2,10,7,9
furry,35,"Male, completely",cisgender,Completely homosexual,us,Agnostic,professional,graduate_postcollege,9,Monthly,Never,10,10,,10,10,10,10,10,10,10
furry,18,"Male, completely",cisgender,Asexual,us,Jewish,student,ongoing_highschool,7,Never,Never,10,10,,10,10,10,8,10,10,9
furry,28,"Female, completely",cisgender,Bisexual,us,Agnostic,Other,graduate_university,6,Several times a year,Monthly,10,6,,10,10,10,10,10,10,10
furry,27,"Male, completely",cisgender,Mostly homosexual,us,Atheist,creative_furry,graduate_university,6,Several times a year,Several times a year,10,10,,10,10,10,9,10,10,9
furry,24,"Male, completely",cisgender,Completely homosexual,us,Atheist,sales_support,graduate_university,2,Never,Never,8,3,,5,1,10,8,10,9,7
furry,21,"Female, completely",cisgender,Pansexual,au,Pagan,student,ongoing_university,3,Never,Weekly,7,8,,6,3,8,8,10,8,6
fur_fan,28,"Male, completely",cisgender,"Bisexual, leaning heterosexual",nl,Buddhist,service,some_university,7,Never,Never,10,4,,5,3,10,2,8,8,6
furry,34,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",professional,advanced_degree,9,Weekly,Weekly,10,9,,9,6,10,10,10,9,9
fur_fan,32,"Male, completely",cisgender,Mostly homosexual,us,Atheist,technical_it,graduate_university,2,Never,Never,10,8,,5,5,10,10,8,7,7
furry_adjacent,27,"Male, completely",cisgender,Completely heterosexual,ca,Muslim,student,ongoing_university,3,Never,Monthly,8,,,,3,10,3,8,10,7
furry,27,"Male, completely",complicated,Completely heterosexual,ca,Atheist,student,ongoing_university,8,Several times a year,Weekly,8,8,,8,7,8,8,10,8,9
furry,19,"Female, completely",cisgender,Completely homosexual,us,"Christian, Orthodox",student,ongoing_highschool,9,Never,Daily,10,3,,10,10,10,10,10,10,5
furry,23,"Male, completely",cisgender,Completely homosexual,us,Agnostic,sales_support,some_university,10,Never,Never,10,10,,10,10,10,10,10,10,10
furry,20,"Female, completely",cisgender,Pansexual,us,Atheist,service,graduate_highschool,5,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,43,Mostly female,,Completely heterosexual,us,Pagan,professional,graduate_university,8,Daily,Less than once a year,10,9,,10,3,10,8,9,10,1
furry,20,Mostly female,complicated,Other,us,Pagan,student,ongoing_university,6,Monthly,Several times a month,10,9,,9,10,10,8,10,10,9
furry_lifestyler,24,"Male, completely",cisgender,Completely homosexual,us,Atheist,student,ongoing_university,8,Never,Never,9,9,,9,9,10,10,10,10,10
furry,41,"Female, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",Other,advanced_degree,6,Daily,Several times a month,10,10,,,,10,10,9,9,
furry,1,"Male, completely",cisgender,Bisexual,us,"Christian, Protestant",student,advanced_degree,6,Less than once a year,Never,10,8,,8,7,10,8,10,9,10
furry,24,Mostly male,transgender,Bisexual,ca,Atheist,student,ongoing_highschool,8,Several times a month,Daily,10,10,,5,7,10,10,10,10,10
furry,26,Mostly male,complicated,Pansexual,us,Agnostic,sales_support,technical_college,5,Never,Daily,8,8,,8,8,10,7,10,10,10
furry,27,"Male, completely",cisgender,Asexual,us,"Christian, Protestant",service,graduate_highschool,10,Less than once a year,Never,10,10,,10,10,10,10,10,10,10
furry,25,"Male, completely",cisgender,Bisexual,us,"Christian, Protestant",technical_it,graduate_university,4,Never,Never,7,5,,10,10,8,6,9,10,10
furry_lifestyler,17,"Male, completely",cisgender,Bisexual,us,Atheist,student,ongoing_highschool,10,Never,Never,10,10,,10,10,10,7,10,10,10
