species,reason
raven,"I did choose raven for several reasons. It is an animal that is mislabeled by society (as a symbol of death) when it's just a bird doing its own thing, really. They are chatty and creative (don't believe me? look at some videos), solving problems in unique ways while being generally curious, playful, and sometimes mischievous. I possess these traits, so it's a good fit there. Of course I also chose ravens because they look pretty, and they can fly, which is awesome.

In summary, there are symbolic aspects as well as ""ooh look at this cool animal"" aspects to my decision."
otherbear,"Yes! I feel the need to help my near and loved ones as much as posible, but at the same time they have to get ""rufft up"" from time to time so they learn that life isnt easy always."
riverotter,"Wiggle wiggle wiggle, yeah :D"
griffin,"Gryphons are loyal, and honest. I admire and I try to follow that in my real life. "
husky,"Husky/Labrador mix. Representative of two facets of my personality. One being aloof and reserved, and the other incredibly silly and playful."
dragon,"Sexual attraction, ability to have a feral character with sentience and ability to communicate and use tools, personal connection with certain traits typical of dragons (modified for specific subspecies)"
otherungulate,"I'm an aries, and sheep has always fit me well."
domesticcat,Because I feel it reasonates with my personality the closest of the many choices.
raccoon,"Personality, habits, interest."
otherfox,Just always favored being a fox among others.
wolf,"I have been a fan of wolves for a very long time, and I admire some of their traits, such as loyalty and perseverance. "
wolf,"like attributes, imagine anthro ver of them in a sexual way"
mouse,"Now I can say I just like the species, I have Aspergers Syndrome  and I had always had a fondness to animals and especially mice. But one of the reasons why I have chosen the sona is because of the traits that the mouse is related to (shyness, quite vibe, coward(also I was not happy when I joined so I felt awful about myself)) but also because of the fondness of mice.It is very original and I was very suprised at first that many people found it original, I found it very unoriginal when I made it. But I digress, as I grew up in the found I found and I  chose it because of everything, what it represented of me back then and a great fondness of mice. I obviously don't feel that bad about myself and have gained a lot of confidence in the last few years. "
othermustelid,I identify with ferrets because my personality is similar to a ferret.
othercanine,I like dogs. That's pretty much it.
redfox,"I took an animal personality test, and Fox personality was one of the results, and is probably the most accurate one.  Also got horse and penguin as possibilities, but truth be told, I don't think most people can be accurately described with only one animal within the context of that test."
wolf,I feel they are strong leaders with a great sense of pride and family values.
wolf,I work part-time at an environmental nonprofit with wolves.  I had to.
dragon,"It's one of those creatures where I do not necessarily identify with those around me nor the stereotypes presented in modern literature/cinema... However there's this inexplicable pull towards the species, not for the perceived power nor the social status, but for the freedom it represents, the intelligence, loyalty, honour, among other things. "
husky,"I feel more closer and linked to them, more so the wolf then others."
grizzlybear,"The nature of the animal calls to me however, a Kodiak Bear is my fursona. "
coyote,"It matches closely to my personality, and they are among my favourite species."
domesticcat,"I have allways loved cats, i purr like one, i'm very curious, I like to scratch at things... I just feel that I have alot of Catlike characteristics. 

I choose Domesticated because I feel I more closely relate to how they act an respond to humans an other animals."
domesticcat,"Yes, but I don't have the words to explain it."
wolf,Cause I've always loved Wuskys growing up
tiger,"I've always loved felines, especially tigers. I think that a tiger is a good representation of my stubborn and defensive side whereas a cat fits my generally tame and submissive demeanor."
redpanda,"I find red panda's to suit my personality, as the cute fluffy balls of energy. plus, cute. 


cute cute cute."
squirrel,I like dicks so i fucking chose one. <3 ;)
raven,"Not particularly. I tend to refer to myself as a gray raven. I have been going grey since I was a teen, and tend to be in my shell/nesting at home quite a lot. I do notice ravenish traits I suppose in myself. The desire to hoard shiny things, the intelligence. "
dragon,"I have always adored dragons, and felt a feeling of familiarity and comfort when hearing stories about them. This, among other things, lead me to understand that I am and Otherkin."
redfox,'cause of Tails from Sonic the Hedgehog
otherfox,"A dragon because they are awesome, and one of the main characters in my fantasy world is a dragon, and thus represents a significant part of myself. A fox simply because everyone has a fox fursona."
coyote,"While I don't especially like outing my identity as Otherkin, I tend to use ""spotted hyena"" as a common identity because the animals are intelligent, loyal, and charming but have been frequently scapegoated. I also like horse as an identifier because I can be high strung, and other traits - such as my fondness for vegetables."
tiger,"When I was first introduced to the furry fandom, I considered myself to be a tiger-striped domestic cat, but since realizing that I am otherkin, I now consider myself to have the spirit of a Tigress in me."
wolf,"Loyal , loving , sly , cunning , strong , Love for Canine's"
tiger,I am unsure.
kitsune,"I used to have dreams all the time, even before I knew about the furry fandom, as a child. There was always the same fox there, and we played together."
redfox,It  sums up who or what I want to be 
dragon,"I'm not sure, it's just my fursona ^.=.^"
otherfox,Dog
wolf,"Wolf is my spirit animal, and I share more than one attribute with the wolf."
jackal,"I`ve ever felt an strong bound between me and the Jackal One, as He is my Inner self. "
rabbit,Yes... 
redfox,I'm a red fox because people call me sly and quick. I am also a bit devious and one to be watched.
hyaena,"He is cute, interesting and I have fun playing him."
grizzlybear,"I like dogs.  I've always been associated with a Grizzly by my friends.  I like hybrids, because I want to be as original as my imagination will allow."
snowleopard,I have always been connected with the Snow Leopard since I had this very vivid dream when I was 15.
hyaena,Personalities and specific traits they have that i can relate to.
jackal,"Canines are loyal and trustful, and I do my best to beloyal to my friends."
otherbird,"I'm a scarlet tanager. I love birds, and I find tanagers to be pretty, and I'm actually able to draw them."
riverotter,I find the otter aesthetically pleasing as well as the personality similarities. I just feel right as an otter.
tiger,I am loyal to those who know me but would rather lay around and do nothing.
raven,have been told I look and act like many of the selected above 
redfox,"I believe I share the same traits as a Red Fox, being sly, sneaky, though I don't approve of the stereotype of all foxes being... erm.. ""Loose"" with their sexuality"
redpanda,It's always been my favorite animal.
husky,"I'm not really sure, I just do."
wolf,Strong.
rabbit,They are all apart of my roster of 40 plus characters.
redfox,"Foxes are thought to be clever n' such, or at least in folklore and popular media (e.g. Fox's Cunning spell from D&D)."
redfox,"I Feel That The Red Fox Is Very Similar To Me, In The Way I Act."
othercanine,I have always had an attachment to white tigers ever since I was a little girl. I just think Dingoes have beautiful long ears and are adorable.
wolf,I identify with wolves mostly with my personality similarities with them and my mentality towards life and interactions with others.
otherdog,Matches my personality.
wolf,"Yes, but I do not feel like explaining.
(Antlered female wolf.)"
dragon,"I'm year of the dragon born, and my native American spirit animal is a black leopard, also known as panther, but panther could be others, such as a jaguar that is black. I noticed you don't list jaguar either, why do you leave them out?
I also noticed you did not put jack rabbit. You also list separate of domestic dogs, but group all domestic cats into one."
redfox,Suits my personality
husky,hard to explain really. it just fits.
othercanine,"Well my Folfingo fursona tells a story...enriched with inspiration of my family Native American influence by the two red scars on his cheeks, symbolizing the warrior. Being my fursona's eyes are blue represents clearity and focus, but mostly represents the qualities / similar body structure what I'd look like if I was a furry.

As reasons why and what they mean to me my strength of courage comes from the wolf, my cunning comes from the dingo in me and finally sly swift side comes from the fox part of me. My fursona has been inspiration even before knowledge of being a furry, and tells my story like anyone else story. From my high points to my low points, its what makes me unique as an individual, just like this melting pot of a world. "
othercanine,"The coyote because I seek solitude, an the striped hyena because i can be cruel but laugh at the same time."
lion,The lion represents strength and courage - something I as a human lack.  But I identify with most all anthro characteristics that are common belief about lions.  Leadership and all that sort of thing.
wolf,Always seemed to have a connection with the wolf
lion,favorite movie was The Lion King
husky,"Dog/canine-Because I'm loyal and protective
Feline-because Im cuddly, cute and am a tad nutty
Rabbit-Because I can be timid and shy  times, and Im considered wise for my age."
otherfox,"Just fits me. Sly, cunning."
dragon,n/a
germanshepherd,Not really. I just drew something one day and based the colors on the actual colors of my hair. I thought it looked like a German Shepherd. I chose dogs in the first place because I've just always liked dogs.
tiger,MY strong mind and body
tiger,"The overall behavioral patterns and such played a big part, but I have always felt drawn to Pantera tigris tigris. (Bengal Tiger)"
cheetah,"Cheetahs normally only let loose one burst of intense exertion, before stopping to rest for a rather long time. I identify with this trait, since I am rather lazy. Also, my physical body figure is really skinny, like that of a real cheetah's"
otherfox,I see myself as said animal.
rat,"intelligent, but sometimes misunderstood. makes a good friend and social to a certain extent."
cheetah,"I'm drawn to all felines, but cheetahs and lions more so."
deer,Many physical and behavioral similarities.
rabbit,"I've always been attracted to felines, they're both beautiful and strong, sensual and sultry, they tend to do what they like and have their own agendas as do I. Most of the time they seem to be very composed and aware of what's going on, observant.  At the same time they can be very compassionate and playful. Also I myself an from India, and I believe there's a connection with myself and tigers. "
otherfox,Foxes look cool.
squirrel,"Not really sure. Just feels right. Feels like me. Maybe will change one day, as I am new to the fandom."
otherbear,"It fits my personality quite well, and my appearance is also similar."
wolf,"Yes, but that's multiple very very long stories, lets just go with I've had an affinity for wolves since I was really little. Including getting the chance to meet one face to face, no fences, no nothing. They're highly misunderstood creatures. I guess I can feel sympathy with them because I'm also very misunderstood by a lot of people. Yes there my favorite animal, and I've been fascinated by them for as long as I can remember. I just have a personal connection with wolves. "
hyaena,Personality traits match closely. Scavenger
otherdog,"Intelligence, disposition, hair colour."
wolf,"When I discovered the fandom via Furcadia back in 05 I fell into the wolf dreams. Something just clicked within me and I knew that's what my fursona was, a wolf. My fursona also has wings because while I was growing up I always wanted to fly and put wings on everything I drew."
kangaroo,"In my furry world, my girlfriend/ wife would be a kangaroo. I know it doesn't that's what I am, I cannot find my fursona."
raccoon,"More like it chose me, but: intelligence, tenacity, fearless attitude, cleverness"
coyote,Spiritual & totemic identification
wolf,able to relate to its traits
redpanda,"Red Pandas are my favorite animals. Cute, playful, and friendly~ For some reason I've always felt comfortable having a red panda as my sona, and nothing else."
otherfox,Foxes have been my favorite animals since childhood.
otherfox,"i pick one at random initially, and stuck to it eventually"
tiger,"Tigers have always been important to me, from early childhood.  I thought I might be a wolf for a time (I often say I am 10% wolf), because I literally had a wolf shirt for every day of the week plus one for holidays, and wolf posters decorated my walls... but it's more that I enjoy wolves and admire them.  Inside, I relate to tigers more, have distinctly feline characteristics (that even non-furries have identified as such), and my totem animal is a tiger."
raccoon,"I feel that Raccoons/Tanooki best portray my personality traits. I also appreciate that they're more uncommon then other animal types, but no so uncommon that you can't find any others of them within the community. A raccoon mafia if you will."
redfox,"No, I just lovr them and think they are beautiful."
domesticcat,I like the way it looks
raccoon,Characteristics of the animal in how it acts. 
otherfeline,"Hmm, i'd have to say it's based on my actual personality, since, when faced with new people/things I can be quite rabbit like (Shy and timid for example) but when annoyed/angered/sad I can be quite rash/hasty and defensive like a feline. Other than that I've always liked the look of both the Eurasian Lynx and the Volcano Rabbit."
dragon,"Dragons are fucking awesome, they rip shit apart, breathe fire, are smart and cunning, they can motherfucking fly without all that stupid feather shit and their scales sparkle like a baby's eyes. Not being a dragon is like saying ""yeah, I want to be some bitch's winter coat."" They make fucking battle armor out of single scales."
otherdog,My character is a dalmatian. I've been fond of them since infancy.
dragon,I have just always felt a pull to the soul that I was a Dragon and have always seen myself as such.
redfox,My favorite animal and also my spirit animal 
wolf,I identify with wolves' pack mentality and importance of loyalty. I also like the mystique and nobility of wolves.
wolf,"I love dragons and they are very intelligent, and strong, wolves are socially interactive because they stay in packs, and a Lucario because It would be awesome to have aura powers"
leopard,"just how i feel and i love my cat collar i wear all the time 
"
wolf,"I like the animal, and I feel it shares some traits with me."
husky,"All my life, since I was just a toddler, I've ALWAYS had a very close connections with all dogs. To me, they are my brothers and sisters. But the specific reason I chose Canine, Husky is because I love cold climates and snow (and they're my favourite). Other than that, I dont feel like a need a reason why though. "
griffin,I identify as a gryphon after finding a certain click with the creature when I first found it and have stuck with it for years now. Traits that the gryphon carries as well are also ones I am usually passionate about and display.
dinosaur,"The meerkat, tasmanian tiger, dragon, iguanodon, wolf, etc. have all fascinated me. I've changed fursonas multiple times, so it's hard to say whether I stick with it. Currently, my fursona is a spider-monkey, wolf, tasmanian tiger hybrid. I identify with the wolf because I tend to howl and I like forests and the moonlight, as well as how 'spiritual' they seem and their pack structure. The spider-monkey, I tend to mimic 'monkey-like' noises and I can be pretty extatic- they've been a favorite when I was little as well. I even have a sock monkey named Squiggly. The tasmanian tiger; I've always loved cryptids, and they seemed pretty interesting. I love their long jaws their mysteriousness. "
wolf,Wolf Therianthrope
greyfox,There is no particular reason.
husky,I have a wolf soul in a human skin. 
otherfeline,"Feline Other for my totem animal Bobcat, bird other for my Phoenix fursonna I had that represented overcoming adversity (retired), and Other Neqa'El (Egyptian Demon Cat) for my current fursonna since I have a darker side and the side of me that gets infuriated if flesh and blood cats are mistreated. I demand respect for myself, others I love, and the animal I most identify myself with. "
wolf,"Not particularly. I like the coloration of Red wolves, and the history behind them is interesting."
dragon,Lots of heritage falls into the correlation with dragons as well as dragons always being my favorite thing since I was little.
collie,"Yes. I very much identify myself with the personality traits of that animal. From both the general sterotypes and the little details. I can't see myself as anything else, even another breed of dog, it wouldn't fit right."
tiger,I've always liked tigers. :3
otherungulate,"Damn it, Makyo, I've clicked on like fifty buttons already! I don't have time to write an explanation on goats!"
wolf,I chose a wolf since I kept to myself a lot. I identified with a lone wolf. Also I chose a wolf because I think they are beautiful. 
wolf,"A wolf most suits my personality and wolves are my favorite animal, in my opinion they are the most adorable creatures on earth"
raccoon,Mainly admiration of Sly Cooper and shared behavioural traits.
otherbear,"I've always been a big burly guy, and I've always been drawn to bears. So its a natural fit."
wolf,I have understood the social concepts in canine society than in the human society.
wolf,i've been around dogs my whole life
rat,"I had a handsome Russian Blue boy named Yoggie . Next to eating peas and pastas (and tearing down his brothers' nest to make his own), his favorite thing to do was to nap in my hoodie. He quickly became my writing companion, and while I loved all of my rats, he was especially precious to me. Unfortunately, he was also prone to respiratory issues and had very delicate health. His final illness led to a very fast decline. We fought very hard to save him - in fact, I only just paid off his vet bills, some three years after the fact.

I wanted something to commemorate my lovely boy, and to celebrate my love and support for rats - especially as I was no longer able to commit to fostering and volunteering at my local rat rescue. Because the loss was still so tender, I opted to make my character a Russian Silver, which was as close to a Blue as I was able to allow myself. I attributed all of his best personality traits and rattie habits to her, along with my own passion for writing and making ink-messes. "
lizard,"I'm lazy, like naps, and don't do alot xD"
wolf,i like both and my personality shares many similarities to these animals
lion,"Yes. Each animal retains traits of myself personally, or inherited traits of my parents, who related themselves to some of the animals as well (or really, really liked them)."
kitsune,I have always liked Japanese culture and history and I like being around humans as well as furs so what better than a Kitsune? There is also the magic of the Kitsune and the lore of their multiple tails. I can be a trickster and I like playing games. I identify with Tails the Fox.
rabbit,"similar characteristics, appreciation to soft things"
dragon,I've always been a fan of dragons and dragon fiction
redfox,Fox. I'm quick to get in and out of tandight situations. I'm quick on my feet and have a strong sense of moral justice. but at the exact same time a selfish Streek.
dragon,Childhood character I was able to express with a fursona
rabbit,The characteristics
coyote,It is my spirit animal - my totem.
otherbear,"Wolves have always been a favorite of mine, but a bear fits my personality more. "
wolf,"Dreams, unknown feelings.
"
dragon,"I admire the strengths of dragons -- they're powerful, loyal, and they command respect."
jackal,"Mostly in physical features, but I also share some behavioral attributes with the animals."
dragon,Silly question.
