Species,Reason,Character status
redfox,"i just really liked foxed, they look more girly then regular canines",Primary character
raccoon,"Basically, the species came about after I chose an online name that was related to raccoons (for somewhat arbitrary reasons, although I also like raccoons for their reputation as small, clever, crafty critters) and began to associate with closely.",Primary character
snowleopard,"Behavior, some physical traits",Primary character
riverotter,Fun,Primary character
wolf,I like wolves in real life and wanted my character to represent that.,Primary character
tiger,"Simple, I like felines and tigers the most",Primary character
other,Physical attractiveness. Desired qualities. ,Primary character
rat,"I might not relate as much to rats, but they are also very close to my heart, and have been a big part of my life.",Secondary Character
domesticcat,"Cats are close to my heart, and I can relate to them. ",Primary character
otherdog,Childhood pet,Primary character
"redfox, kitsune, coyote",Kitsune are shapeshifters. Makes it easier to swap species when I want.,Primary character
redfox,Unknown close connection ,Primary character
tiger,They are the largest of the big cat family.,Primary character
snowleopard,Favorite species and most appropriate fitting for me in characteristics.,Primary character
rabbit,favorite species,Primary character
kitsune,For the mythological factor. And some unexplained dreams when growing up,Primary character
"dragon, other",It connects to who I am throughout my time as a furry.,Primary character
coyote,I identify as a coyote because coyotes are the species I feel best represent my personality. ,Primary character
otherfox,Identify with specific species attributes ,Primary character
"otherfeline, dragon","Aesthetics, personal preferences, cuteness... subjective things like that!",Primary character
domesticcat,It fits my personality...and its cute.,Primary character
skunk,More or less accidental (wound up playing one on a MUCK by chance and stuck with it).,Secondary Character
otherdog,I was not cool enough to be a wolf.,Primary character
riverotter,"I like fish, swimming. I have small ears. Asian Small Clawed Otters are alos from China",Primary character
raccoon,"I love the animal, several of my favorite characters are raccoons",Primary character
other,I have loved orcas all my life and like the idea of a gentle giant.,Secondary Character
deer,I enjoy deer and subverting expectations for deer.,Secondary Character
raven,I like birds and subverting people's ideas of birds,Secondary Character
horse,"Familiarity, empathy, close identity",Primary character
wolf,"Literary character about whom I write, and for whom I fursuit.",Secondary Character
redfox,"Behavor, apperance.",Primary character
"riverotter, seaotter",I like the art I saw of them. My boyfriend also loves them.,Primary character
other,"1. Species is relatively unheard of in the fandom (fulfilling the desire to be a maverick, for better or worse)
2. Porcupines in real life are very stocky-built, which appeals strongly to my fat fetish.
3. Their guard hairs translate well to blonde hairs, anthropomorphically.
4. Their flat face and prominent philtrum create the iconic "":3"" face I find rather cute.",Primary character
leopard,like felines and feel kinda connected to the leopard,Primary character
griffin,"Like the component animals (wolf/eagle in this case), wanted a unique character without being a special snowflake",Primary character
"otherfeline, otherungulate, bat, other",Because I wanted a not Pokemon character to play around with.,Secondary Character
"kitsune, other",Started roleplaying in a Pokemon based IRC,Primary character
riverotter,I just think otters are cute!,Primary character
horse,"Always had an affinity to horses, and for the attributes that are given to them.",Primary character
otherbird,Birds are cool,Primary character
collie,"Always liked dogs, got along well with them and had little trouble figuring out their body language etc.

As far as border collies specifically, they seemed most compatible with my personality.    I'd consider myself fairly clever and energetic, but also very anxious (collies wobbles)",Primary character
"snowleopard, skunk","I have always liked snow leopard, and skunk defines attributes that I have but don't express as fully as I'd like. I'm exploring myself using this character and the attributes I want (snow leopard) with the attributes I do have (skunk).",Primary character
other,Critter kinda grew that way through rp. Think John carpenters thing.,Primary character
fennec,This is the character that represents what I am and what I want to be.,Primary character
fennec,I like foxes.,Primary character
lizard,"It is common in climates I prefer, generally avoids outright confrontations, is clever in its approach to problems, lives a low-energy lifestyle overall, ties interestingly to my gender identity/expression, and is unusual but not pretentious.",Primary character
redfox,"I identified with and admired many aspects of the red fox. Specifically: Cleverness, a roundabout approach to problems, agility, lack of raw brawn, low aggression, and malleability.",Deprecated character
domesticcat,Housecats are adorable.,Primary character
brownbear,Favorite animal!,Primary character
deer,"I don't feel being creative, but I don't want to be a generic canine character.",Primary character
"redfox, arcticfox","I've always found foxes appealing, both visually and by their personality. I also wanted to play against the stereotype of foxes being the sluttiest species of fandom.",Primary character
rabbit,Bunnies are qt,Primary character
other,I like being a pokemon.,Secondary Character
dragon,I like dragons,Primary character
raccoon,It describes me well,Primary character
wolf,"It was just a species that appealed to me at the time, and I haven't had much reason to change it ever since.",Primary character
dragon,dragons are qt,Primary character
otherdog,I like dogs and can relate to them,Primary character
riverotter,I like otters,Deprecated character
"polarbear, rabbit, other",I liked Monty Python and the Holy Grail and I was a mythology nerd,Deprecated character
"otherungulate, other","explored playing zebra in RPs with significant other, grew to identify stronger with this species over time",Primary character
otherdog,Chosen by my significant other,Deprecated character
dragon,"I felt right about it when I RP'd as a dragon, for a time",Secondary Character
wolf,I'm not certain. I just like wolves?,Primary character
germanshepherd,I'm fascinated with this race in specific.,Primary character
deer,"There's just something about the way deer look and act that draws me to them. Slim, graceful, shy.",Primary character
wolf,"They are powerful, but dogs are related to them--a combination of strength and trust.",Secondary Character
wolf,Bound to a pack (my family),Primary character
redfox,Its one of my favourite animals and apart of my favourite animal species,Primary character
cheetah,"I was inspired by the werecheetahs from the comic ""Gold Digger"" by Fred Perry. I also adore all of the cats, but find the King Cheetah's fur markings to be the most attractive.",Primary character
"fennec, rabbit",I had a pet bunny once that made me really adore the species and then I also really love fennecs so I just chose both.,Primary character
dragon,Dragons are pretty neat,Primary character
wolf,simplicity,Primary character
redfox,Friend helped me make it,Primary character
"husky, dragon, horse",They are all my favorite animals ,Primary character
redpanda,They're adorable!,Primary character
other,Because I'm not creative with creating 'sona's. :T,Primary character
"otherdog, rabbit","Fits my personality, since I can't pick one",Primary character
"snowleopard, rabbit",I feel That these species embody my inner image.,Primary character
arcticfox,"Influenced by starfox, love winter. ",Primary character
dragon,"Dragons are cool, yo",Primary character
mouse,Because I think mice are cute,Primary character
otherfox,Admirable traits ,Primary character
othermusteloid,Who Framed Roger Rabbit's Toon Patrol weasels vaguely influenced me creating a weasel character as a young teen. The species/physical attributes changed over time.,Primary character
othercanine,I wanted a male character to represent another side of myself so I made a doberman character.,Secondary Character
husky,"Happy, sexy, random",Primary character
dragon,"I dunno, I think dragons are hot!",Primary character
"wolf, other","Originally a wolf, added parts of Thylacine because I enjoyed the features",Primary character
wolf,Appreciation for the species.,Primary character
"redfox, otherfox","Because, foxes are adorable. :3 ",Primary character
"germanshepherd, hyaena",Loyalty of a German shephard and enjoying physical traits of hyena,Primary character
snowleopard,its what i wanna be,Secondary Character
"wolf, other",its me.,Primary character
redpanda,They're so cute,Primary character
otherbear,cuz bears are qt,Primary character
"otherungulate, other",I thought goats looked cool,Primary character
othermustelid,"I'm curious, nihilistic, impulsive, and energetic. I'm always looking for more information or new experiences.",Primary character
other,i was like 12 and wanted to be diffrent,Primary character
other,The MTG Universe is amazing,Primary character
wolf,It's me in a sense.,Primary character
dragon,"I don't want to say it was necessarily peer pressure, but a lot of the people I talked to regularly on Steam via group chat were dragons",Primary character
dragon,Felt that a dragon most reflected my personality,Primary character
dragon,I've always had an affinity for dragons.,Primary character
dragon,There are many kinds of dragons and i feel being a dragon allows many options to make my character with to fit my personality.,Primary character
tiger,"I am born in the year of the tiger, and have felt very attached to this animal since a young age",Primary character
redpanda,It wasn't generic but wasn't something that was so snowflaky that was used to set myself apart from anyone else.,Primary character
arcticfox,They're also really cute and fluffy.,Secondary Character
redpanda,"They're exceptionally cute, and I like big, fluffy tails.",Primary character
wolf,Same as above.,Secondary Character
other,"Appearance of the species, Second Life avatar and kept it as i developed a romantic relationship with someone using a shark avatar and they associate me as so now",Primary character
dragon,I've used it a lot long time ago and now i'm back to using it again to represent my past and it's white silverish color scheme represents other white fursonas i've had,Secondary Character
otherungulate,"It's a goat, because of it's symbolism in magic and the occult, their cuteness and overall somewhat exotic but not too rare on the fandom and its easy to relate for me unlike large predatory animals",Secondary Character
weasel,"Own ferrets, and I can be as stupid, and goof-ball as they are.",Secondary Character
other,"I like the species, and the cosplay aspects are quite a nice benefit.",Secondary Character
otherbear,"It was a long ago, far away time and I was as creative as a rock.",Primary character
other,We share the feature of having childbirthing hips.,Primary character
other,I want to be raped and eaten by them,Primary character
other,i like a lot of their characteristics,Primary character
"greyfox, kitsune, otherfox, othercanine, other","The species looks very similar to a human OC character i've had in mind for a very long time, as such, i identify with them pretty strongly.",Primary character
other,"Made the charcter on a whim, for roleplay and other purposes. ",Primary character
"fennec, tiger",Personal connections to both species. ,Primary character
"wolf, tiger, dragon",I can't really say. Just what my character said he was.,Primary character
raccoon,because yes,Primary character
tiger,Large; striking appearance; protective; temperamental.,Primary character
otherfeline,"This is also my favorite animal, I have a fascination for them.",Primary character
otherfox,no idea,Primary character
"arcticfox, dragon",It was the form i had in one of my past lives i've remember.,Primary character
arcticfox,"Same as above, just with the fact that another soul of me from another realm has  come into this realm.",Primary character
otherfeline,She resembles my instinct,Secondary Character
otherfeline,"attentive, quiet, elegant, quick, a loner, secretive",Primary character
riverotter,To a lesser extent I  identify with this body type and swimming/water,Secondary Character
otherfox,"Drawn towards, slash identify with characteristics and personality",Primary character
"wolf, redfox","I just think its a pretty standart easy to go to species. But it also plays into my fursona's history, I will spare you the story, but bowling it down. I was druged and partly transformed.",Primary character
other,Can be anything I desire.,Primary character
raptor,Admired species and it fit in the theme of the MUCK it had its genesis on,Primary character
domesticcat,I'm a huge fan of the Lion King. ,Primary character
dragon,Basically how I would imagine my soul.,Primary character
raccoon,I didn't choose,Primary character
lizard,The sedentary nature gels with my NEET attitude.,Primary character
other,Their strange ways and biology fascinate and amuse me.,Secondary Character
raven,They are subtle yet clever animals.,Secondary Character
riverotter,First person to give me a concrete species picked otter. I kept him around and added my flair.,Primary character
dragon,Someone suggested I'd make a good dragon - so I took on an eastern longdragon :V,Secondary Character
otherbird,Someone drew me as a bird - so I kept him around.,Secondary Character
"wolf, husky","Because it's a real breed, and I've met a a friend who had one. I love it's personality, though it played a little rough.",Primary character
"domesticcat, dragon","My wife assigned them to me.  I've always been interested in dragons, dolphins, and sharks.  However, the dragon/cat hybrid was a commission without my knowledge, and I've just stuck with it.",Primary character
"wolf, hyaena","I am loyal like a wolf, laughable like a hyena.",Primary character
dragon,"Nice looking fursuits and
big tail ^~^ ",Primary character
wolf,"My Girlfriend is an wolf 
And i never really made a fursona untill she told me too",Deprecated character
redfox,because foxes. There was never a thought to be anything else.,Primary character
rabbit,"I came into the furry fandom via my love for rabbits and my membership in the Watership Down ""fandom.""",Primary character
"otherreptile, mouse",MOUSE,Primary character
"fennec, otherreptile",Fave animals,Primary character
"coyote, jackal",Female character (for occasional genderfluid moments),Deprecated character
"otherfeline, other","I like their aesthetics, their personality matches mine, and they're cool as shit",Primary character
deer,It felt intuitive.,Primary character
otherungulate,"Goat: On a purely visual level, I resonate with them.",Primary character
wolf,"I love wolves, and it best represents myself",Primary character
"wolf, germanshepherd","well rook is the part of me i will always want to be, he is smart and agile and aware of everything and he expresses the leader traits that i wish i could show irl but when i make the fursuit of him things will change i can feel it. his name is Rookie, Rook for short
",Secondary Character
otherdog,Dogs have large tongues and are aesthetically pleasing.,Primary character
kangaroo,Cos I was a dumb Australian once.,Deprecated character
cheetah,"Cheelaxing. Nuff said. Actually, it was always going to be a cat, and cheetahs are the most beautiful of all.",Primary character
"kitsune, other","Character sort of chose me. Started as an RPG character and took over my life, please save me,",Primary character
rabbit,I identify strongly with how sexual rabbits are. Also they're cute.,Primary character
"redfox, otherfox, other","I associate with the curiosity, playful, and reserved nature of foxes.",Primary character
,i use it as a metaphor for being guided by desire in my hypnosis.  ,Primary character
domesticcat,Cats are the cutest. ,Primary character
domesticcat,Cats are rad.,Primary character
"domesticcat, bat, other",They are my favotire animals.,Primary character
jackal,"When I was a kid I was obsessed with Egyptian mythology. My son a used to be more Anubian, but since has evolved into a black-backed jackal.",Primary character
other,Cause I liked the idea of having a non animal character among the fandom.,Primary character
"redfox, other",People mistaken him for a fox all the time so I changed him from a cat.,Primary character
domesticcat,Was a huge fan of cats during highschool.,Deprecated character
otherungulate,"Pronghorn: sporty tomboyish look, like horns. Vegetarian animal.",Primary character
skunk,Giant bushy tails are adorable.,Secondary Character
lion,Transgender feelings,Secondary Character
hyaena,Transgender,Primary character
rabbit,"They're harmless and horny. I took a random survey online to choose an animal, and it selected rabbit, so I went with it.",Primary character
otherdog,I like dogs,Primary character
hyaena,"I was once made fun of for laughing like a Hyena, I started to love Hyenas and Hyena characters because of this connection I felt .  Later I found out about the. Androgynous quality Spotted Hyenas have and ran with it.",Primary character
domesticcat,I like cats.,Primary character
other,I thought they were pretty cool. ,Primary character
arcticfox,Cute and playful,Secondary Character
redfox,"I've always admired the cunning of a fox. They're small, they're fast, they're smart.",Primary character
wolf,It picked me.,Primary character
dragon,I love dragons and am slightly obsessed. This is a representation of me.,Primary character
other,I wanted a character that I could act out and I love lucarios,Secondary Character
"riverotter, seaotter",Otter=cute :3,Primary character
redfox,I like foxes,Primary character
redfox,"I relate to particular character traits of the red fox: sly, cunning, energetic, maybe a little lazy. Always had a kind of connection with foxes. Always found them real neat.",Primary character
rabbit,I felt that it best represents me.,Primary character
otherdog,"It has always been my species. That's a lame reason, I know. I just love dogs I guess.",Primary character
redfox,Used to be a big fan of Tails the Fox.,Deprecated character
"dragon, other",Was a big fan of yoshi hybrids in my early days.,Deprecated character
dragon,Fuck you I'm a Dragon,Primary character
other,An affinity for the species and also from research obsession with it.,Primary character
dragon,"It seemed symbolically appropriate, somehow, for my framework of futurist aspiration. My ultimate ideal is to try being as many different things as possible, but my dragon-sona always feels like the anchor of it all.",Primary character
otherdog,Ibizan Hounds are my favorite dog breed,Primary character
"wolf, redfox","I like red foxes and maned wolves, so I made a mix.",Primary character
other,"It's rather culturally fitting, and is a relatively neat species that you don't see that often in furry art.",Primary character
otherbird,Appreciation for the species. Love birds. Attractive plumage pattern,Primary character
mouse,Love rodents. Stereotypical mouse behavior fits me better.,Secondary Character
arcticfox,This is my naughty side of me,Primary character
tiger,My masculine side,Primary character
husky,He is the hyper side of me since huskies are very playful and hyper.,Primary character
"wolf, domesticcat",My greaser and rocker side,Primary character
dragon,My dominant side,Primary character
"husky, tiger",My diverse side,Primary character
tiger,Wanted a species I could have fun suiting as .,Primary character
tiger,I like cats,Primary character
otherdog,"Heritage, personal connections.",Primary character
mouse,It seemed to fit.,Primary character
,"I prefer to be a human being because I have the most experience with living in this condition, also I don't care enough to create an ""altar ego""",Primary character
"wolf, husky",i love to see the moon and howling and like snow or runn througout the forest so fast i can . (husky i like tail up partys ),Primary character
fennec,They are my favorite species of fox.,Primary character
domesticcat,They're fucking cute,Primary character
"otherbird, other",Personal reasons.,Primary character
"wolf, brownbear","Big, Strong, Protective, Intelligent.",Secondary Character
otherdog,"Big, Strong, Work dog.",Primary character
wolf,"Always loved wolves and werewolves, Felt a strong connection to them since I was young.",Primary character
otherreptile,I've always had a broad fascination with reptiles in general,Primary character
collie,Border collies are my favorite dog.,Primary character
riverotter,Always thought otters were cute and I'm a good swimmer.,Deprecated character
"othermustelid, griffin","First fursona, owned a ferret in high school.",Deprecated character
othermustelid,"Ferrets are naturally tall like I am, and their curious nature resonates with me. ",Secondary Character
otherfeline,Cats are cool,Primary character
wolf,Admired characteristics of.,Primary character
rabbit,"I identify with rabbits because they're one of the few creatures I know of that can kill themselves through anxiety alone. They're also cute and harmless/prey animals, which fits with my personality. There's also the irony of them being really sexual while I'm a complete prude.",Primary character
"snowleopard, otherfeline",Snow Leopard primarily through my academic interests in Russia and the greater Central Asian community.,Primary character
wolf,Fascinated by the loyalty of wolfes/dogs,Primary character
othercanine,I was deliberately looking for an obscure species.,Secondary Character
wolf,I just like wolves.,Primary character
hyaena,"Spirit animal, admire the species, looks cool",Deprecated character
otherdog,"Totem/spirit animal (hah hah only serious), zoophile tendencies",Primary character
"horse, other","Favourite mythological animal, combining two favourite animals ",Primary character
other,"Because it's cute, small, extremely stretchy and you can use the ribbons in a variety of fun ways during an ERP or regular RP. ",Primary character
tiger,"Didn't chose it, it chose me.",Primary character
otherdog,I admire the traits of the Golden Retriever.,Primary character
redpanda,They're small and cute!,Primary character
"wolf, dragon, seaotter, redpanda",I wanted to mash my favorite species into one.,Secondary Character
dragon,I have an affinity toward dragons dating back to my childhood.,Deprecated character
dragon,"Dragons are fantastical and mysterious, which makes them versatile when deciding what attributes to apply to them.",Secondary Character
"otherreptile, other","Crocodiles are a symbol of strength to me, and the species seemed like an adequate way to express both my current and ideal body types.",Primary character
otherungulate,They look interesting and it's a rare species in the fandom,Primary character
coyote,Personality is very similar,Primary character
"fennec, otherdog",I always found leafeon the cutest feral/anthro character. I like green nature as well.,Primary character
"redfox, otherfeline, other",Its the 2 species i identify the most with ,Primary character
pandabear,A few reasons. They sort of fir my body type. They can be somewhat cute and cool at the same time. Really enjoy the Pandaren race in World of Warcraft.,Primary character
other,I just don't feel like I need a fursona to be a furry.,Primary character
collie,"Favorite animal, appearance wise and personality wise.",Primary character
otherbear,Personality match,Primary character
domesticcat,Similarities in personality with my own person,Primary character
wolf,The gray wolf has been my favorite animal almost my entire life.,Primary character
horse,"Experience with horses in real life, passion for riding and learning more about horse care",Primary character
other,baa,Primary character
other,bees are cute,Primary character
redfox,It's cute.,Primary character
otherdog,"Ike is really chill... And white shepherds are cool. White is symbolic for purity and innocence, which he has. ",Primary character
snowleopard,Always liked/adore felines for their way of life. ,Primary character
wolf,"Mostly because, at the time, I really liked wolves. I watched a documentary on wolves for a class and it got me fascinated with them (this was before I ""became"" a furry). I tried tacking some wolf-like characteristics to myself to make it seem more justified (smart, social, gregarious, good leader, etc.), but really, I just think wolves are neat. I do sometimes consider changing up my character, as he's less of an identity and more of a public icon and I feel like both my character's species and my character himself are too bland and uninspired. But for now, I'm a walf. :3",Primary character
"othercanine, other","Coincidence. After drawing an Arcanine character, I discovered it appealed to me just as much as my audience.",Primary character
cougar,"Coincidence of convenience. Prior to joining fandom, played as an existing character designed by Japanese toy manufacturers. Retained that character's species when creating own original character.",Primary character
otherfeline,"I generally just love cats. However I thought a regular domestic cat would be a little boring and somethi g like a lion or tiger would be too fierce for me. I chose the lynx ( which is notlisted) because it seems to fit in inbetween the two and alsofits me personality-wise, as I am rather shy.",Primary character
otherdog,"I believe we share many qualities; Loyal, good-natured, helping others feel better, and liking belly rubs to name a few",Primary character
pandabear,"pandas are adorable, yo.
like hella",Primary character
otherfeline,It is my favorite animal,Primary character
otherdog,Rather not say,Primary character
grizzlybear,Favorite animal,Primary character
weasel,Fell in love with a female (short-tailed) weasel whom I write about.,Primary character
squirrel,"Had a crush on a (European red) squirrel from one of the Redwall series books (Celandine, from ""Martin the Warrior"")",Secondary Character
otherdog,"Personality and size, in relation to real life appearance.",Primary character
polarbear,Spirit Animal,Primary character
wolf,I've loved wolves since I was very young and owned a wolf/dog hybrid as a family pet during my childhood.,Primary character
"wolf, fennec, othermusteloid",They fit my own personality and seem the most as my own.,Primary character
"wolf, husky",I'm mean and derpy.,Primary character
othermarsupial,hive mind,Primary character
lizard,Pretty much aesthetics,Primary character
rabbit,"affection for ""The Long Patrol"" hares of Redwall book series",Secondary Character
otherungulate,"Affection for goats, and happened to win an auction for a goat fursuit",Secondary Character
kitsune,"Long-time interest in foxes, plus extreme interest in shapeshifting",Primary character
other,I dont have a furaona,Secondary Character
snowleopard,Because I am.,Secondary Character
fennec,I just feel like they're the closest to what I'm like,Primary character
otherreptile,"Kobolds are often plucky underdogs, and that really tickles my peach.",Primary character
leopard,personal interaction with a real one,Primary character
other,"It just stuck. I was RPing as this particular character when my ex-boyfried kissed me for the first time on the internet, so it holds kind of a special significance (that was also the first kiss I had AS a furry)",Primary character
wolf,because i run either as a lone wolf or in a pack,Primary character
other,my sign is sheep/ram the way it talk for there characteristics  sounded well off,Deprecated character
otherbird,"Birds are graceful, and I love Africa.",Primary character
cougar,I wanted a big cat that was also American. I am proudly both.,Primary character
dinosaur,"I adore smooth scaly bodies. Dinosaurs, particularly raptors, are also adorable.",Primary character
riverotter,"I used to be a wolf. Felt that was not fitting as I aged, switched to an otter later. ",Primary character
"wolf, otherfox",Marf,Primary character
bat,"Always been fascinated with them, figured it would be a good choice and stuck with it ever since.",Primary character
wolf,"Admiration, self identification.",Primary character
cougar,I wanted a big cat that was also American. I am proudly both.,Primary character
raccoon,"It just feels right. Corny, yes? ",Primary character
kitsune,"Always liked foxes for some reason, and kitsune were oddly fascinating due to legends/etc.",Primary character
husky,Shares many personality traits with myself ,Primary character
"wolf, brownbear",Wolf felt right from the start; bear features added mainly for looks.,Primary character
other,Looks cool,Primary character
griffin,I love birds,Primary character
horse,I love horses and MLP.,Primary character
lion,"Im lazy, as well as active",Primary character
"otherfeline, other","Feline traits, clan emblem, uniquness",Primary character
"wolf, arcticfox, kitsune, otherfox, dragon, kangaroo",i like dragon,Primary character
other,"Camels have fur, duh.",Primary character
redfox,"After dabbling around what animal would fit me as a fursona, I decided on the fox quite simply because they are gorgeous. I also like the stereotype of foxes being sly, even if that isn't quite the case.",Primary character
wolf,"I like the animal in general, and didn't want to put in too much effort in creating a very special character",Primary character
dragon,"Strong and brave, works well with fantasy subjects",Primary character
"redfox, coyote",I enjoy how they look and the stereotypical personalities of these animals are somewhat true for me,Primary character
greyfox,Favorite animal,Primary character
wolf,because thats what other says,Primary character
other,It's qt as fug,Primary character
dragon,Most interested in dragons.,Secondary Character
domesticcat,Used to go with a dragon but some people take a negative view of that so I thought I'd change. I find cats endearing.,Primary character
other,"Gryphons are known for loyalty, and being truthful. I am also a fan of the creature and feel I can identify with one. ",Primary character
other,Dominant,Primary character
"coyote, germanshepherd","Coyotes were this rare thing to see when I was a kid back in California.  The few times I saw them, though, there was just this weird connection.  Can't really explain beyond that.  Chose gshep because I firmly believe that loyalty is the most important virtue, and I wanted a species that reflected that.  Without authority, we are nothing.",Primary character
otherdog,"I had an interest in canines, though I wanted something historical and unique. So, I choose the Canaan Dog as my fursona",Primary character
other,I feel that it is closer to me,Primary character
othercanine,Liked their physical appearance and they're reasonably uncommon.,Primary character
otherdog,I like dogs.,Primary character
wolf,"Dominant, pack-leader personality",Primary character
"wolf, domesticcat",first character,Primary character
redfox,"Honestly, as I was looking for an animal that would fit as a fursona, I found the fox and they are just too gorgeous. I also like the stereotype of them being sly, even if it isn't really true.",Primary character
"arcticfox, otherfeline",Cute and white.,Primary character
raccoon,"After doing a great deal of observation of wild raccoons and doing further research into their behavior and mannerisms, I found a lot about them that's admirable. They're also aesthetically pleasing; they're charming, attractive-looking animals. If I didn't have wild raccoons in my everyday life, though, I imagine my fursona would have ended up being something else.",Primary character
dragon,"Ultimate loner, has more than enough power to defend territory.

Also, dragons.",Secondary Character
redfox,"Smaller than other canids, known for being sly, doesn't stay in the ""pack"" should conditions favor leaving.

Also, red is sexy.",Primary character
panther,Species was chosen from when I was a Lion King fan and I simply imported the character.,Primary character
wolf,Just 'cause it is my favorite and I used to think it represented me in a sense.,Primary character
snowleopard,"Relatively unique species; appearance; species ""personality""",Primary character
raptor,Drawthreads on 4chan,Deprecated character
raccoon,They're pretty neato,Primary character
domesticcat,I am basically a real life cat,Primary character
"rabbit, other",Because Texas ,Secondary Character
"coyote, otherdog",Coyotes are neat ,Secondary Character
othermustelid,Behavioral and physiological identification. ,Primary character
jackal,Behavioral identification. ,Secondary Character
"coyote, husky","Started out as just coyote, but who doesn't love a curly tail? Also the general loyal yet indignant and even confrontational nature  of a husky is fitting to mix in.",Primary character
otherdog,IT'S SO FLUFFY,Secondary Character
cougar,I identify with properties of animal ,Primary character
rabbit,Just like the animal,Primary character
otherdog,"I like dogs. I don't identify as the dog though, it's just a character",Primary character
"dragon, other","Hey, why not? Character is adorable, and it's easy to identify as it :3",Primary character
otherdog,For fun and possible future development.,Secondary Character
