How old are you?,What gender do you identify as?,Does your gender identity align with your sex assigned at birth?,What species is your primary character?,Where in the world are you located?,What religion do you identify with?,"If we cannot observe something, it may as well not exist.","There is/are no God, gods, or deities.","There is no such thing as truth, only opinions.",Morality is a social construct.,"Sometimes, it is better for individuals to have rights taken away, in order to protect others within a society.","When in Rome, do as the Romans do.",People require a national identity to understand themselves.,The only things we can be said to know are things we have experienced.,Science is the surest path to knowledge.,Some races require different treatment than others.,It is impossible for us to know if other beings are self-aware.,"Without a belief in God, any action becomes permissible.","It is better to hold false but comforting beliefs, than to know something disturbing.",The ends can justify the means.,"Everything has a scientific, naturalistic explanation.","There is an objective reality, which exists independently from us.",The most important goal of life is to become happy.,"People posses free will, and are able to make choices as individual agents.","Certain things, such as racism, sexism, and homophobia, are always wrong, regardless of context.",The media positively contributes to liberal democracy.,We posses no knowledge at birth.,Our perceptions accurately represent reality.,Free market economics is the best way to distribute wealth.,Different societies ought to keep to themselves.
33,,cisgender,feral,dk,,disagree,strongly_agree,disagree,strongly_agree,slightly_agree,neutral,strongly_disagree,disagree,strongly_agree,disagree,slightly_agree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,neutral,slightly_disagree,slightly_agree,slightly_agree,dont_know,slightly_agree,slightly_disagree,disagree
29,,cisgender,tiger,us,,disagree,agree,strongly_disagree,slightly_disagree,agree,agree,strongly_disagree,disagree,agree,strongly_disagree,dont_know,strongly_disagree,neutral,disagree,slightly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,dont_know,slightly_disagree,strongly_disagree,disagree
29,,complicated,domesticcat,us,,slightly_agree,neutral,strongly_disagree,agree,strongly_agree,slightly_agree,slightly_disagree,strongly_disagree,strongly_agree,strongly_disagree,slightly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,agree,strongly_disagree,neutral,strongly_agree,neutral,agree,disagree,strongly_disagree,strongly_disagree
19,,cisgender,raccoon,us,,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,disagree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,neutral,strongly_agree,agree,neutral,strongly_agree,agree,slightly_agree,disagree
21,,cisgender,wolf,ca,,strongly_disagree,slightly_disagree,strongly_disagree,agree,slightly_agree,slightly_agree,slightly_agree,strongly_agree,slightly_agree,disagree,slightly_disagree,strongly_disagree,neutral,neutral,slightly_agree,strongly_agree,neutral,slightly_agree,disagree,slightly_agree,agree,strongly_disagree,strongly_disagree,slightly_disagree
17,,cisgender,otherdog,us,,strongly_disagree,strongly_disagree,disagree,slightly_agree,strongly_agree,disagree,strongly_disagree,agree,agree,strongly_disagree,strongly_agree,strongly_disagree,agree,agree,strongly_agree,dont_know,dont_know,dont_know,slightly_disagree,strongly_disagree,dont_know,dont_know,slightly_agree,neutral
41,,complicated,rabbit,us,Alchemist,strongly_disagree,neutral,disagree,slightly_disagree,slightly_agree,neutral,strongly_disagree,strongly_disagree,disagree,strongly_disagree,neutral,strongly_disagree,disagree,disagree,slightly_agree,slightly_agree,slightly_disagree,neutral,slightly_agree,slightly_agree,slightly_agree,disagree,strongly_disagree,disagree
29,,cisgender,rabbit,us,,neutral,agree,neutral,slightly_disagree,strongly_disagree,slightly_agree,disagree,slightly_agree,agree,strongly_disagree,dont_know,strongly_disagree,disagree,slightly_agree,agree,agree,agree,strongly_agree,agree,neutral,disagree,neutral,agree,slightly_disagree
54,,cisgender,redfox,us,,disagree,agree,disagree,agree,disagree,neutral,disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,slightly_disagree,disagree,disagree,disagree,disagree,disagree,disagree
26,,cisgender,dragon,us,,disagree,slightly_disagree,strongly_disagree,slightly_agree,slightly_agree,agree,disagree,agree,slightly_disagree,strongly_disagree,agree,strongly_disagree,disagree,agree,disagree,agree,agree,agree,agree,slightly_agree,strongly_disagree,slightly_disagree,disagree,strongly_disagree
29,Nonbinary,complicated,dragon,us,Simulationist,strongly_disagree,slightly_disagree,strongly_disagree,slightly_disagree,agree,dont_know,strongly_disagree,disagree,agree,strongly_disagree,disagree,neutral,disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_agree,strongly_agree,slightly_disagree,slightly_agree,strongly_disagree,disagree
18,,cisgender,redpanda,au,,disagree,slightly_agree,strongly_disagree,agree,agree,strongly_agree,disagree,slightly_agree,agree,disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,agree,disagree,disagree,slightly_disagree,slightly_agree,slightly_disagree,strongly_agree,agree,neutral,disagree
32,,cisgender,domesticcat,us,"Agnostic, secondary Buddhist",strongly_disagree,dont_know,disagree,slightly_agree,agree,strongly_agree,disagree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,slightly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,neutral,neutral,disagree
23,,cisgender,wolf,us,,strongly_disagree,neutral,strongly_disagree,strongly_agree,disagree,slightly_agree,disagree,neutral,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,dont_know,agree,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,strongly_disagree
21,,cisgender,wolf,us,,disagree,agree,disagree,strongly_agree,agree,neutral,slightly_disagree,neutral,disagree,strongly_disagree,disagree,disagree,disagree,slightly_agree,agree,agree,neutral,agree,strongly_agree,slightly_agree,dont_know,slightly_disagree,strongly_disagree,strongly_disagree
21,,transgender,leopard,ca,,slightly_disagree,agree,agree,agree,neutral,agree,disagree,slightly_agree,agree,slightly_disagree,slightly_agree,disagree,disagree,slightly_agree,slightly_agree,slightly_agree,slightly_agree,slightly_agree,slightly_disagree,dont_know,dont_know,disagree,dont_know,slightly_disagree
17,,transgender,germanshepherd,us,,disagree,strongly_disagree,disagree,strongly_disagree,disagree,disagree,strongly_disagree,slightly_agree,slightly_disagree,strongly_disagree,agree,neutral,neutral,slightly_disagree,disagree,dont_know,disagree,agree,agree,slightly_disagree,dont_know,neutral,slightly_disagree,slightly_disagree
19,,cisgender,coyote,us,,slightly_agree,disagree,agree,agree,agree,slightly_agree,strongly_disagree,slightly_agree,disagree,slightly_disagree,strongly_agree,disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,disagree,neutral,slightly_agree,slightly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_disagree
27,,cisgender,othercanine,us,,strongly_agree,agree,slightly_agree,strongly_agree,slightly_agree,slightly_agree,neutral,slightly_agree,strongly_agree,disagree,neutral,strongly_disagree,disagree,agree,agree,agree,slightly_disagree,strongly_disagree,agree,neutral,slightly_agree,disagree,slightly_disagree,slightly_disagree
35,,cisgender,redfox,us,,strongly_disagree,slightly_agree,slightly_disagree,slightly_disagree,strongly_agree,slightly_disagree,strongly_disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,slightly_agree,slightly_disagree,strongly_agree,disagree,slightly_agree,slightly_disagree,slightly_disagree,agree,strongly_disagree,disagree,strongly_disagree
29,Genderless,complicated,rabbit,jo,,strongly_disagree,strongly_agree,slightly_disagree,slightly_agree,neutral,slightly_agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,neutral,strongly_agree,agree,neutral,slightly_agree,slightly_agree,neutral,strongly_disagree
31,,cisgender,dragon,ca,,agree,agree,neutral,slightly_agree,slightly_agree,slightly_agree,disagree,slightly_agree,strongly_agree,strongly_disagree,slightly_agree,strongly_disagree,disagree,neutral,agree,agree,agree,agree,slightly_agree,slightly_disagree,agree,slightly_disagree,slightly_agree,disagree
16,,cisgender,dragon,au,,disagree,neutral,slightly_disagree,agree,slightly_agree,slightly_agree,disagree,agree,slightly_agree,strongly_disagree,agree,strongly_disagree,slightly_agree,slightly_agree,neutral,slightly_agree,slightly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_disagree,disagree,strongly_disagree
31,,cisgender,coyote,de,,agree,agree,disagree,slightly_agree,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,strongly_agree,strongly_disagree,neutral,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,slightly_agree,agree,strongly_disagree,slightly_agree,disagree
33,???,complicated,dragon,us,,strongly_disagree,neutral,disagree,slightly_disagree,slightly_agree,slightly_disagree,strongly_disagree,agree,slightly_agree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,disagree,neutral,dont_know,neutral,slightly_agree,slightly_agree,dont_know,disagree,dont_know,strongly_disagree,slightly_disagree
32,,cisgender,otherungulate,ch,,slightly_agree,agree,slightly_disagree,agree,slightly_agree,slightly_disagree,slightly_agree,disagree,slightly_agree,slightly_agree,slightly_disagree,disagree,disagree,slightly_agree,neutral,agree,slightly_agree,slightly_agree,agree,strongly_agree,slightly_agree,slightly_agree,disagree,disagree
23,,cisgender,redfox,us,,agree,strongly_agree,strongly_disagree,slightly_agree,strongly_agree,slightly_disagree,strongly_disagree,disagree,agree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_agree,disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree
19,,transgender,otherdog,gb,Diest,slightly_agree,slightly_disagree,strongly_disagree,strongly_disagree,disagree,disagree,slightly_agree,slightly_disagree,agree,strongly_disagree,strongly_agree,disagree,disagree,slightly_agree,slightly_agree,strongly_agree,strongly_disagree,agree,strongly_agree,neutral,slightly_agree,slightly_agree,agree,slightly_agree
27,,cisgender,jackal,us,,slightly_disagree,agree,strongly_disagree,disagree,agree,neutral,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree,slightly_disagree,strongly_agree,strongly_agree,disagree,disagree,disagree,slightly_agree,strongly_disagree
20,,cisgender,wolf,us,,disagree,strongly_disagree,slightly_disagree,slightly_agree,neutral,strongly_agree,slightly_agree,slightly_agree,slightly_disagree,slightly_agree,slightly_disagree,agree,disagree,strongly_disagree,slightly_disagree,neutral,agree,strongly_agree,slightly_disagree,agree,slightly_disagree,disagree,disagree,slightly_disagree
33,,cisgender,wolf,au,"None (can count as atheist, but atheism isn't a religion, so that's not an appropriate answer to the question as it's phrased)",disagree,slightly_agree,strongly_disagree,slightly_agree,slightly_agree,slightly_disagree,strongly_disagree,disagree,agree,slightly_disagree,slightly_agree,strongly_disagree,disagree,slightly_agree,slightly_disagree,strongly_agree,slightly_agree,agree,strongly_agree,slightly_agree,disagree,neutral,disagree,slightly_disagree
16,,cisgender,othercanine,nl,,slightly_disagree,slightly_agree,strongly_disagree,agree,slightly_agree,strongly_disagree,strongly_disagree,slightly_agree,agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,agree,dont_know,agree,agree,strongly_agree,dont_know,agree,disagree,slightly_disagree,neutral
20,,cisgender,riverotter,us,,slightly_agree,strongly_agree,disagree,strongly_agree,agree,dont_know,strongly_disagree,strongly_disagree,agree,disagree,agree,strongly_disagree,neutral,strongly_disagree,agree,strongly_agree,agree,disagree,slightly_disagree,slightly_agree,agree,strongly_disagree,strongly_disagree,disagree
56,,cisgender,rabbit,us,,strongly_disagree,dont_know,strongly_disagree,strongly_agree,neutral,agree,disagree,strongly_disagree,agree,strongly_disagree,agree,agree,strongly_disagree,strongly_agree,neutral,neutral,agree,dont_know,disagree,agree,dont_know,strongly_disagree,slightly_agree,disagree
30,,cisgender,otherdog,us,,agree,agree,neutral,agree,agree,slightly_agree,disagree,neutral,slightly_agree,strongly_disagree,neutral,disagree,disagree,neutral,agree,slightly_agree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_disagree,slightly_disagree,disagree,disagree
26,,cisgender,riverotter,us,,slightly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,slightly_disagree,strongly_disagree,slightly_agree,agree,disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,agree,disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,agree
26,,cisgender,dragon,us,Quaker (non Christian) ,strongly_disagree,disagree,slightly_agree,slightly_disagree,slightly_agree,strongly_disagree,strongly_disagree,strongly_disagree,slightly_disagree,strongly_disagree,agree,strongly_disagree,disagree,slightly_agree,agree,strongly_agree,disagree,slightly_agree,strongly_agree,slightly_disagree,disagree,strongly_disagree,disagree,strongly_disagree
29,,cisgender,kangaroo,us,,strongly_disagree,strongly_disagree,strongly_disagree,slightly_agree,neutral,slightly_agree,strongly_disagree,slightly_agree,agree,disagree,neutral,neutral,neutral,disagree,slightly_agree,strongly_agree,slightly_agree,strongly_agree,neutral,slightly_disagree,slightly_disagree,disagree,slightly_disagree,disagree
31,,cisgender,kangaroo,us,,disagree,disagree,slightly_disagree,agree,neutral,slightly_disagree,disagree,neutral,slightly_agree,strongly_disagree,slightly_agree,disagree,slightly_disagree,disagree,slightly_agree,dont_know,slightly_disagree,slightly_agree,agree,agree,slightly_agree,slightly_disagree,neutral,slightly_disagree
32,,cisgender,rat,gb,,disagree,neutral,slightly_agree,slightly_agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_agree,slightly_agree,agree,agree,agree,strongly_agree,neutral,slightly_agree,disagree,slightly_agree,slightly_agree
20,,cisgender,dragon,us,,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,slightly_agree,slightly_agree,neutral,disagree,strongly_agree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,neutral,strongly_agree,slightly_disagree,slightly_disagree,strongly_disagree
28,,cisgender,otherfox,us,deist,disagree,neutral,disagree,neutral,neutral,disagree,strongly_disagree,strongly_agree,agree,strongly_disagree,disagree,strongly_disagree,disagree,neutral,agree,dont_know,agree,agree,agree,strongly_disagree,disagree,strongly_disagree,neutral,dont_know
22,,cisgender,deer,za,,neutral,agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_agree,slightly_agree,agree,strongly_agree,disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,slightly_disagree,neutral,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,slightly_disagree
32,,cisgender,otherdog,us,,agree,slightly_agree,slightly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,neutral,slightly_disagree,strongly_disagree,neutral,agree,strongly_disagree,strongly_disagree,strongly_disagree
19,,cisgender,bat,us,,strongly_agree,agree,neutral,agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,agree,disagree,neutral,strongly_disagree,disagree,slightly_disagree,agree,neutral,neutral,agree,agree,neutral,agree,neutral,disagree,disagree
41,,cisgender,wolf,us,Animist,strongly_disagree,disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,agree,slightly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,neutral,disagree
22,,cisgender,coyote,us,Pantheist,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,slightly_disagree,slightly_agree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,slightly_agree,neutral,strongly_disagree,slightly_disagree,slightly_disagree,strongly_agree,neutral
20,,cisgender,polymorphic,us,,strongly_disagree,neutral,slightly_disagree,neutral,agree,slightly_agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_disagree,slightly_agree,disagree,neutral,neutral,neutral,slightly_agree,neutral,strongly_agree,agree,neutral,slightly_agree,disagree,dont_know,disagree
24,,cisgender,other,us,,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,disagree,agree,disagree,disagree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,neutral,agree,strongly_agree,agree,slightly_agree,neutral,slightly_disagree,slightly_disagree,strongly_disagree,agree,strongly_disagree
22,,cisgender,redfox,us,,slightly_disagree,strongly_agree,disagree,agree,slightly_disagree,slightly_disagree,disagree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,neutral,agree,strongly_agree,neutral,neutral,slightly_agree,agree,agree,slightly_agree,slightly_disagree,strongly_disagree
23,,cisgender,othermustelid,us,,neutral,neutral,strongly_agree,disagree,agree,neutral,slightly_agree,disagree,slightly_disagree,neutral,disagree,neutral,dont_know,slightly_agree,disagree,agree,slightly_agree,agree,agree,neutral,dont_know,disagree,strongly_disagree,disagree
21,,cisgender,wolf,,,strongly_disagree,strongly_disagree,slightly_disagree,agree,disagree,dont_know,agree,disagree,strongly_disagree,strongly_disagree,strongly_agree,disagree,strongly_disagree,neutral,disagree,agree,agree,strongly_agree,strongly_agree,disagree,disagree,strongly_disagree,neutral,disagree
23,,cisgender,othermustelid,us,,strongly_disagree,dont_know,disagree,disagree,agree,neutral,slightly_agree,disagree,disagree,slightly_agree,disagree,dont_know,disagree,neutral,disagree,strongly_agree,slightly_agree,agree,agree,dont_know,dont_know,disagree,strongly_disagree,disagree
27,,cisgender,leopard,us,,slightly_disagree,slightly_agree,neutral,agree,neutral,agree,slightly_disagree,slightly_agree,agree,disagree,slightly_agree,neutral,neutral,agree,neutral,slightly_disagree,agree,slightly_agree,agree,neutral,slightly_agree,neutral,neutral,slightly_disagree
