age,species
29,animal_germanshepherd
26,animal_snowleopard
34,animal_rabbit
26,animal_kitsune
28,animal_dragon
28,animal_other
35,animal_collie
23,animal_coyote
28,animal_otherfox
21,animal_otherfeline
21,animal_dragon
27,animal_domesticcat
39,animal_otherdog
39,animal_skunk
27,animal_redfox
21,animal_riverotter
27,animal_other
25,animal_raccoon
25,animal_deer
25,animal_other
25,animal_raven
66,animal_wolf
66,animal_horse
31,animal_redfox
27,animal_lion
31,animal_weasel
31,animal_othermustelid
31,animal_redpanda
31,animal_hyaena
31,animal_bat
24,animal_bat
21,animal_riverotter
21,animal_seaotter
33,animal_wolf
20,animal_other
27,animal_leopard
21,animal_lizard
21,animal_otherreptile
23,animal_hyaena
20,animal_coyote
20,animal_dragon
22,animal_griffin
23,animal_kitsune
23,animal_otherfeline
23,animal_otherungulate
23,animal_other
23,animal_bat
52,animal_lion
21,animal_riverotter
26,animal_horse
26,animal_otherbird
30,animal_collie
31,animal_snowleopard
31,animal_skunk
34,animal_other
28,animal_husky
27,animal_otherfeline
27,animal_other
36,animal_raccoon
18,animal_wolf
26,animal_panther
26,animal_domesticcat
30,animal_dragon
30,animal_lizard
30,animal_otherreptile
30,animal_other
24,animal_lizard
23,animal_brownbear
23,animal_tiger
23,animal_other
21,animal_deer
29,animal_redfox
29,animal_arcticfox
22,animal_rabbit
34,animal_dragon
34,animal_other
19,animal_raccoon
25,animal_wolf
19,animal_dragon
39,animal_wolf
39,animal_coyote
31,animal_otherdog
27,animal_cougar
27,animal_otherfeline
30,animal_dragon
30,animal_otherungulate
30,animal_other
30,animal_wolf
21,animal_germanshepherd
25,animal_wolf
25,animal_deer
23,animal_wolf
27,animal_jackal
24,animal_redfox
29,animal_cheetah
24,animal_rabbit
23,animal_dragon
25,animal_wolf
21,animal_bat
21,animal_redfox
29,animal_coyote
20,animal_husky
20,animal_dragon
20,animal_horse
23,animal_redpanda
24,animal_wolf
16,animal_other
22,animal_otherdog
22,animal_rabbit
32,animal_domesticcat
19,animal_snowleopard
19,animal_rabbit
24,animal_arcticfox
18,animal_wolf
18,animal_greyfox
18,animal_otherfeline
18,animal_weasel
31,animal_lion
31,animal_dragon
100,animal_redfox
100,animal_arcticfox
100,animal_coyote
100,animal_jackal
100,animal_husky
100,animal_collie
100,animal_otherdog
100,animal_othercanine
100,animal_lion
100,animal_leopard
100,animal_cheetah
100,animal_cougar
100,animal_domesticcat
100,animal_otherfeline
100,animal_dragon
100,animal_lizard
100,animal_dinosaur
100,animal_otherreptile
100,animal_raccoon
100,animal_badger
100,animal_seaotter
100,animal_otherbear
100,animal_rat
100,animal_raven
100,animal_rabbit
100,animal_kangaroo
100,animal_koala
100,animal_lemur
100,animal_monkey
100,animal_otherprimate
100,animal_hyaena
100,animal_griffin
18,animal_dragon
27,animal_arcticfox
25,animal_other
23,animal_wolf
16,animal_snowleopard
16,animal_domesticcat
23,animal_mouse
24,animal_otherfox
27,animal_othercanine
27,animal_othermusteloid
29,animal_husky
23,animal_domesticcat
32,animal_dragon
19,animal_wolf
19,animal_redfox
19,animal_coyote
19,animal_raven
19,animal_otherbird
22,animal_wolf
22,animal_redfox
22,animal_raccoon
22,animal_kangaroo
37,animal_otherfeline
2,animal_wolf
18,animal_redfox
18,animal_otherfox
24,animal_germanshepherd
24,animal_hyaena
30,animal_redfox
30,animal_redfox
23,animal_wolf
23,animal_snowleopard
23,animal_other
28,animal_cougar
29,animal_leopard
20,animal_redpanda
19,animal_otherbear
25,animal_otherungulate
25,animal_other
24,animal_othermustelid
19,animal_other
23,animal_other
22,animal_wolf
17,animal_dragon
25,animal_dragon
26,animal_dragon
20,animal_dragon
25,animal_greyfox
18,animal_raptor
1,animal_wolf
1,animal_coyote
18,animal_tiger
22,animal_redpanda
22,animal_wolf
22,animal_arcticfox
22,animal_redpanda
22,animal_dragon
22,animal_otherungulate
22,animal_other
37,animal_weasel
37,animal_otherbear
37,animal_other
22,animal_other
22,animal_other
22,animal_other
28,animal_greyfox
28,animal_kitsune
28,animal_otherfox
28,animal_othercanine
28,animal_other
20,animal_husky
20,animal_other
30,animal_dragon
30,animal_other
30,animal_otherbird
35,animal_otherbird
47,animal_wolf
47,animal_tiger
47,animal_dragon
17,animal_raccoon
24,animal_otherfeline
26,animal_tiger
39,animal_otherfeline
20,animal_otherfox
20,animal_dragon
28,animal_otherfox
24,animal_arcticfox
24,animal_otherfeline
24,animal_dragon
24,animal_raccoon
23,animal_raccoon
25,animal_wolf
20,animal_wolf
20,animal_redfox
26,animal_otherfeline
27,animal_rat
24,animal_weasel
24,animal_mouse
20,animal_other
22,animal_wolf
19,animal_otherfeline
33,animal_lion
33,animal_raptor
29,animal_riverotter
21,animal_domesticcat
21,animal_dragon
25,animal_raccoon
27,animal_arcticfox
25,animal_leopard
20,animal_lizard
20,animal_other
20,animal_raven
39,animal_raccoon
27,animal_dragon
27,animal_riverotter
27,animal_otherbird
39,animal_redfox
23,animal_wolf
23,animal_husky
41,animal_domesticcat
41,animal_dragon
30,animal_wolf
30,animal_redfox
30,animal_coyote
6,animal_wolf
6,animal_hyaena
24,animal_dragon
22,animal_othercanine
22,animal_domesticcat
31,animal_redfox
21,animal_otherreptile
21,animal_mouse
23,animal_wolf
30,animal_otherreptile
18,animal_other
19,animal_otherfeline
19,animal_other
21,animal_otherungulate
25,animal_wolf
20,animal_germanshepherd
19,animal_wolf
19,animal_germanshepherd
28,animal_otherdog
1,animal_cheetah
47,animal_kitsune
47,animal_other
22,animal_rabbit
22,animal_redfox
22,animal_otherfox
22,animal_other
21,animal_domesticcat
21,animal_domesticcat
35,animal_panther
33,animal_wolf
31,animal_domesticcat
31,animal_other
31,animal_bat
28,animal_jackal
25,animal_redfox
25,animal_other
25,animal_skunk
25,animal_otherungulate
22,animal_lion
22,animal_hyaena
19,animal_rabbit
26,animal_otherdog
26,animal_othercanine
22,animal_hyaena
23,animal_domesticcat
27,animal_arcticfox
27,animal_other
40,animal_redfox
31,animal_wolf
20,animal_dragon
20,animal_other
29,animal_riverotter
29,animal_seaotter
28,animal_redfox
19,animal_tiger
31,animal_squirrel
22,animal_redfox
22,animal_rabbit
28,animal_otherdog
29,animal_otherdog
26,animal_wolf
26,animal_dragon
31,animal_dragon
23,animal_other
23,animal_dragon
29,animal_dragon
23,animal_deer
22,animal_othermustelid
20,animal_wolf
20,animal_redfox
22,animal_other
28,animal_mouse
28,animal_otherbird
19,animal_wolf
19,animal_arcticfox
19,animal_husky
19,animal_tiger
19,animal_domesticcat
19,animal_dragon
23,animal_tiger
22,animal_tiger
27,animal_otherdog
30,animal_mouse
25,animal_lion
35,animal_otherdog
17,animal_wolf
17,animal_husky
23,animal_domesticcat
32,animal_other
32,animal_otherbird
21,animal_otherdog
21,animal_othercanine
21,animal_other
21,animal_rabbit
22,animal_wolf
22,animal_redfox
27,animal_wolf
27,animal_otherdog
27,animal_brownbear
29,animal_wolf
20,animal_otherreptile
34,animal_collie
29,animal_wolf
25,animal_wolf
25,animal_otherungulate
25,animal_other
28,animal_dragon
28,animal_otherreptile
25,animal_othermustelid
25,animal_other
22,animal_othermustelid
33,animal_raccoon
33,animal_rabbit
22,animal_otherfeline
25,animal_arcticfox
47,animal_wolf
22,animal_rabbit
22,animal_snowleopard
22,animal_otherfeline
24,animal_arcticfox
27,animal_wolf
21,animal_wolf
21,animal_othercanine
41,animal_arcticfox
30,animal_othermustelid
41,animal_otherdog
23,animal_redfox
22,animal_bat
30,animal_horse
30,animal_other
23,animal_other
33,animal_tiger
23,animal_otherdog
30,animal_wolf
30,animal_dragon
30,animal_seaotter
30,animal_redpanda
32,animal_dragon
32,animal_otherreptile
32,animal_other
27,animal_otherungulate
36,animal_coyote
36,animal_otherfox
6,animal_redfox
6,animal_coyote
6,animal_collie
6,animal_panther
6,animal_lizard
6,animal_seaotter
6,animal_othermusteloid
6,animal_otherungulate
6,animal_polarbear
6,animal_rat
6,animal_raven
6,animal_rabbit
6,animal_koala
6,animal_lemur
6,animal_hyaena
21,animal_other
21,animal_othermarsupial
23,animal_otherdog
31,animal_redfox
31,animal_otherfeline
31,animal_other
23,animal_pandabear
26,animal_other
25,animal_collie
35,animal_otherbear
28,animal_domesticcat
20,animal_wolf
26,animal_horse
22,animal_other
25,animal_other
25,animal_raven
25,animal_otherbird
25,animal_monkey
25,animal_otherprimate
25,animal_griffin
27,animal_redfox
17,animal_otherdog
23,animal_snowleopard
20,animal_wolf
20,animal_arcticfox
20,animal_kitsune
17,animal_wolf
31,animal_othercanine
31,animal_cougar
31,animal_other
20,animal_otherfeline
28,animal_riverotter
30,animal_otherdog
20,animal_pandabear
17,animal_otherfeline
24,animal_otherdog
21,animal_grizzlybear
34,animal_redfox
24,animal_wolf
30,animal_weasel
30,animal_squirrel
24,animal_otherdog
39,animal_polarbear
21,animal_wolf
40,animal_wolf
20,animal_wolf
20,animal_othermusteloid
20,animal_redfox
32,animal_wolf
21,animal_raccoon
18,animal_otherdog
18,animal_otherfeline
34,animal_wolf
34,animal_husky
36,animal_othermarsupial
26,animal_lizard
38,animal_kitsune
38,animal_otherungulate
38,animal_rabbit
19,animal_other
19,animal_arcticfox
19,animal_otherdog
19,animal_otherungulate
57,animal_snowleopard
23,animal_otherreptile
33,animal_wolf
33,animal_coyote
33,animal_othercanine
33,animal_other
31,animal_leopard
27,animal_other
22,animal_husky
30,animal_wolf
22,animal_otherbird
33,animal_cougar
17,animal_otherfox
23,animal_dinosaur
23,animal_riverotter
22,animal_wolf
22,animal_otherfox
51,animal_hyaena
21,animal_wolf
30,animal_otherdog
30,animal_tiger
24,animal_bat
31,animal_otherdog
21,animal_other
40,animal_wolf
33,animal_cougar
25,animal_raccoon
34,animal_arcticfox
34,animal_kitsune
34,animal_coyote
28,animal_kitsune
27,animal_husky
33,animal_wolf
33,animal_brownbear
22,animal_weasel
21,animal_other
25,animal_domesticcat
25,animal_otherfeline
20,animal_griffin
15,animal_horse
25,animal_lion
35,animal_otherfeline
35,animal_other
31,animal_wolf
31,animal_arcticfox
31,animal_kitsune
31,animal_otherfox
31,animal_dragon
31,animal_kangaroo
28,animal_otherfeline
28,animal_otherungulate
25,animal_wolf
23,animal_bat
9,animal_other
20,animal_redfox
34,animal_arcticfox
34,animal_leopard
34,animal_weasel
34,animal_grizzlybear
19,animal_wolf
31,animal_dragon
24,animal_redfox
24,animal_coyote
25,animal_greyfox
27,animal_wolf
22,animal_domesticcat
22,animal_dragon
33,animal_other
26,animal_leopard
26,animal_otherfeline
26,animal_other
25,animal_coyote
25,animal_germanshepherd
24,animal_othercanine
24,animal_squirrel
25,animal_otherdog
20,animal_other
25,animal_otherdog
25,animal_otherreptile
20,animal_othercanine
28,animal_otherdog
48,animal_wolf
25,animal_raven
19,animal_raven
19,animal_raptor
19,animal_otherbird
18,animal_tiger
26,animal_other
21,animal_dragon
20,animal_redfox
21,animal_other
22,animal_arcticfox
22,animal_otherfeline
28,animal_raccoon
22,animal_redfox
22,animal_dragon
25,animal_othermarsupial
34,animal_panther
30,animal_wolf
24,animal_snowleopard
20,animal_raccoon
25,animal_coyote
25,animal_otherdog
25,animal_domesticcat
25,animal_other
25,animal_rabbit
28,animal_jackal
28,animal_othermustelid
23,animal_redpanda
30,animal_coyote
30,animal_husky
30,animal_otherdog
24,animal_dragon
31,animal_rabbit
20,animal_otherdog
22,animal_otherdog
22,animal_otherreptile
22,animal_otherbird
22,animal_othermarsupial
27,animal_dragon
27,animal_other
25,animal_other
27,animal_dragon
27,animal_lizard
21,animal_otherdog
18,animal_dragon
25,animal_otherdog
25,animal_dragon
28,animal_horse
23,animal_lion
23,animal_dragon
23,animal_raptor
23,animal_kangaroo
23,animal_hyaena
23,animal_bat
24,animal_otherdog
24,animal_otherfeline
49,animal_dragon
33,animal_dragon
33,animal_otherungulate
33,animal_griffin
22,animal_raccoon
22,animal_otherfeline
25,animal_otherbear
27,animal_otherdog
27,animal_brownbear
27,animal_grizzlybear
27,animal_redfox
29,animal_dragon
29,animal_hyaena
36,animal_badger
19,animal_rat
22,animal_otherdog
22,animal_other
19,animal_otherfeline
29,animal_otherdog
29,animal_otherfeline
29,animal_mouse
28,animal_otherfox
29,animal_otherdog
29,animal_other
22,animal_other
25,animal_domesticcat
25,animal_rabbit
62,animal_deer
24,animal_domesticcat
20,animal_domesticcat
20,animal_squirrel
25,animal_other
20,animal_otherbird
30,animal_lion
25,animal_otherdog
25,animal_domesticcat
25,animal_rat
33,animal_othermustelid
33,animal_other
46,animal_pandabear
22,animal_otherfeline
47,animal_redfox
30,animal_arcticfox
18,animal_mouse
20,animal_wolf
20,animal_redfox
52,animal_tiger
52,animal_rabbit
31,animal_lion
22,animal_kitsune
22,animal_dragon
20,animal_redfox
28,animal_raccoon
45,animal_raccoon
27,animal_husky
47,animal_wolf
28,animal_husky
20,animal_lizard
23,animal_other
27,animal_dragon
27,animal_horse
22,animal_pandabear
28,animal_redfox
28,animal_bat
19,animal_dragon
19,animal_otherreptile
21,animal_other
20,animal_wolf
19,animal_wolf
17,animal_rabbit
26,animal_redfox
32,animal_wolf
32,animal_othercanine
26,animal_badger
24,animal_snowleopard
35,animal_redfox
35,animal_coyote
24,animal_coyote
28,animal_otherfeline
35,animal_coyote
35,animal_riverotter
35,animal_raven
18,animal_raven
17,animal_kangaroo
21,animal_wolf
28,animal_rabbit
25,animal_cheetah
25,animal_dragon
20,animal_otherfeline
20,animal_wolf
20,animal_redfox
20,animal_otherbird
26,animal_otherdog
27,animal_wolf
29,animal_otherfox
49,animal_wolf
35,animal_otherfeline
35,animal_dinosaur
35,animal_weasel
35,animal_other
21,animal_wolf
21,animal_otherdog
21,animal_dragon
21,animal_other
32,animal_redfox
32,animal_tiger
32,animal_dragon
30,animal_germanshepherd
42,animal_wolf
42,animal_dragon
42,animal_raccoon
42,animal_badger
42,animal_grizzlybear
42,animal_mouse
42,animal_raven
42,animal_rabbit
42,animal_griffin
28,animal_otherbird
20,animal_otherfeline
37,animal_dragon
42,animal_tiger
42,animal_otherreptile
36,animal_dragon
36,animal_riverotter
36,animal_other
36,animal_otherbird
47,animal_wolf
47,animal_redfox
17,animal_otherfox
21,animal_redfox
45,animal_dragon
45,animal_dinosaur
33,animal_wolf
33,animal_tiger
33,animal_otherreptile
37,animal_wolf
26,animal_wolf
25,animal_otherfox
19,animal_snowleopard
26,animal_wolf
27,animal_otherdog
19,animal_redpanda
1,animal_husky
23,animal_redfox
33,animal_horse
19,animal_greyfox
21,animal_otherreptile
21,animal_otherbear
19,animal_otherdog
19,animal_dragon
19,animal_lizard
19,animal_dinosaur
19,animal_other
28,animal_collie
18,animal_horse
23,animal_wolf
32,animal_wolf
32,animal_raven
26,animal_otherfeline
23,animal_dragon
27,animal_other
31,animal_coyote
29,animal_greyfox
29,animal_raccoon
36,animal_tiger
24,animal_lizard
21,animal_otherbird
34,animal_dragon
20,animal_wolf
20,animal_panther
23,animal_arcticfox
23,animal_kitsune
23,animal_other
21,animal_weasel
31,animal_wolf
28,animal_cheetah
28,animal_otherbird
20,animal_other
19,animal_wolf
19,animal_lion
19,animal_otherbear
19,animal_squirrel
18,animal_redfox
18,animal_otherdog
21,animal_other
19,animal_redfox
19,animal_otherfox
26,animal_rabbit
30,animal_polarbear
23,animal_germanshepherd
23,animal_husky
23,animal_collie
23,animal_otherdog
23,animal_horse
23,animal_deer
33,animal_redfox
28,animal_other
18,animal_husky
24,animal_domesticcat
26,animal_riverotter
26,animal_seaotter
26,animal_deer
31,animal_otherbird
28,animal_other
32,animal_lion
28,animal_other
28,animal_otherbird
23,animal_domesticcat
27,animal_other
25,animal_other
25,animal_othermustelid
23,animal_cheetah
24,animal_otherfox
29,animal_othercanine
29,animal_raccoon
29,animal_otherbear
29,animal_rat
21,animal_raccoon
17,animal_raccoon
25,animal_wolf
21,animal_wolf
28,animal_brownbear
23,animal_otherfox
23,animal_jackal
23,animal_husky
23,animal_weasel
29,animal_dragon
18,animal_otherfox
41,animal_domesticcat
24,animal_coyote
24,animal_other
28,animal_raptor
28,animal_otherbird
36,animal_wolf
19,animal_wolf
32,animal_deer
32,animal_rat
19,animal_rabbit
26,animal_otherfeline
20,animal_wolf
20,animal_redpanda
26,animal_germanshepherd
26,animal_otherdog
26,animal_other
26,animal_otherbird
25,animal_wolf
21,animal_tiger
27,animal_otherfeline
24,animal_redfox
25,animal_other
32,animal_tiger
32,animal_other
19,animal_wolf
19,animal_redfox
28,animal_other
24,animal_raccoon
24,animal_raven
20,animal_wolf
20,animal_raccoon
25,animal_raccoon
31,animal_dragon
33,animal_dragon
25,animal_dinosaur
27,animal_coyote
27,animal_raccoon
40,animal_otherdog
28,animal_otherdog
28,animal_dragon
16,animal_other
28,animal_domesticcat
28,animal_squirrel
24,animal_coyote
24,animal_raccoon
24,animal_rat
22,animal_horse
22,animal_bat
32,animal_wolf
25,animal_wolf
25,animal_husky
27,animal_snowleopard
38,animal_otherreptile
38,animal_other
15,animal_wolf
15,animal_other
28,animal_bat
23,animal_dragon
20,animal_otherungulate
20,animal_other
33,animal_domesticcat
22,animal_tiger
17,animal_deer
22,animal_otherdog
22,animal_other
22,animal_redfox
27,animal_domesticcat
27,animal_wolf
27,animal_lion
27,animal_otherreptile
27,animal_otherungulate
32,animal_lizard
25,animal_wolf
25,animal_dragon
20,animal_redfox
18,animal_otherfox
23,animal_otherfeline
23,animal_other
36,animal_deer
21,animal_wolf
20,animal_snowleopard
20,animal_panther
20,animal_cougar
20,animal_seaotter
22,animal_domesticcat
20,animal_domesticcat
20,animal_dragon
20,animal_weasel
20,animal_deer
20,animal_other
25,animal_wolf
34,animal_squirrel
41,animal_horse
29,animal_redfox
19,animal_arcticfox
19,animal_redfox
19,animal_otherfox
24,animal_redfox
44,animal_wolf
23,animal_redfox
27,animal_dragon
27,animal_lizard
27,animal_otherreptile
28,animal_other
47,animal_griffin
29,animal_lion
24,animal_greyfox
19,animal_otherungulate
25,animal_otherdog
29,animal_otherdog
29,animal_othermarsupial
25,animal_otherbird
27,animal_lion
27,animal_otherfeline
27,animal_other
26,animal_raccoon
26,animal_rabbit
27,animal_coyote
25,animal_raccoon
22,animal_lizard
22,animal_redfox
22,animal_tiger
29,animal_otherdog
22,animal_domesticcat
22,animal_other
25,animal_other
21,animal_othermustelid
20,animal_arcticfox
30,animal_otherungulate
24,animal_dragon
19,animal_dinosaur
26,animal_otherdog
37,animal_husky
34,animal_domesticcat
22,animal_wolf
22,animal_kitsune
22,animal_collie
22,animal_snowleopard
24,animal_wolf
24,animal_husky
20,animal_redfox
24,animal_lizard
28,animal_other
26,animal_dragon
24,animal_dragon
19,animal_deer
35,animal_wolf
35,animal_othercanine
20,animal_otherfeline
34,animal_kitsune
24,animal_wolf
24,animal_greyfox
24,animal_coyote
24,animal_othermustelid
24,animal_grizzlybear
24,animal_rat
24,animal_otherprimate
24,animal_bat
25,animal_griffin
21,animal_kitsune
30,animal_lion
30,animal_leopard
21,animal_other
28,animal_wolf
25,animal_otherdog
32,animal_domesticcat
30,animal_other
34,animal_dragon
20,animal_dragon
20,animal_other
24,animal_wolf
22,animal_raven
24,animal_redfox
25,animal_greyfox
22,animal_greyfox
27,animal_horse
27,animal_deer
23,animal_lizard
22,animal_riverotter
29,animal_rabbit
20,animal_domesticcat
20,animal_rabbit
23,animal_otherungulate
20,animal_other
20,animal_wolf
42,animal_othermustelid
42,animal_rat
22,animal_wolf
22,animal_kitsune
22,animal_husky
18,animal_other
21,animal_other
33,animal_other
22,animal_husky
23,animal_rabbit
24,animal_otherdog
19,animal_domesticcat
19,animal_rabbit
22,animal_dragon
27,animal_other
18,animal_wolf
18,animal_arcticfox
18,animal_dragon
18,animal_lizard
18,animal_deer
22,animal_dinosaur
20,animal_dragon
18,animal_othercanine
30,animal_rat
24,animal_redfox
21,animal_otherungulate
23,animal_tiger
25,animal_otherdog
34,animal_wolf
34,animal_otherungulate
23,animal_raccoon
35,animal_other
20,animal_rabbit
30,animal_skunk
24,animal_otherreptile
18,animal_tiger
21,animal_otherdog
21,animal_otherfeline
21,animal_dragon
21,animal_other
22,animal_redfox
25,animal_wolf
25,animal_other
30,animal_snowleopard
20,animal_dragon
20,animal_lizard
20,animal_dinosaur
25,animal_weasel
23,animal_wolf
23,animal_horse
35,animal_wolf
35,animal_hyaena
43,animal_leopard
23,animal_other
29,animal_wolf
30,animal_greyfox
30,animal_snowleopard
57,animal_lion
57,animal_otherfeline
32,animal_dragon
25,animal_rabbit
45,animal_dragon
45,animal_lizard
45,animal_otherreptile
45,animal_otherbird
44,animal_dragon
28,animal_tiger
27,animal_badger
30,animal_otherfox
36,animal_jackal
30,animal_other
27,animal_otherdog
21,animal_wolf
21,animal_otherdog
21,animal_snowleopard
18,animal_otherdog
18,animal_othercanine
18,animal_other
17,animal_domesticcat
21,animal_other
29,animal_otherfox
23,animal_otherfeline
29,animal_othercanine
29,animal_other
32,animal_wolf
32,animal_redfox
32,animal_otherfox
32,animal_coyote
32,animal_husky
26,animal_husky
27,animal_otherdog
27,animal_tiger
34,animal_otherdog
34,animal_horse
34,animal_otherungulate
31,animal_arcticfox
23,animal_dragon
27,animal_wolf
29,animal_wolf
21,animal_horse
24,animal_wolf
24,animal_germanshepherd
26,animal_otherungulate
20,animal_lion
20,animal_dragon
20,animal_brownbear
20,animal_griffin
20,animal_otherbird
32,animal_other
28,animal_skunk
28,animal_wolf
28,animal_kangaroo
25,animal_wolf
25,animal_raptor
25,animal_griffin
34,animal_coyote
34,animal_tiger
23,animal_raccoon
29,animal_kangaroo
20,animal_wolf
23,animal_otherdog
23,animal_other
22,animal_otherdog
22,animal_arcticfox
24,animal_pandabear
19,animal_redfox
22,animal_redfox
29,animal_other
21,animal_other
21,animal_hyaena
20,animal_othercanine
21,animal_dragon
23,animal_husky
24,animal_lizard
24,animal_otherreptile
19,animal_wolf
21,animal_redfox
27,animal_otherbird
18,animal_otherfox
21,animal_domesticcat
22,animal_other
20,animal_arcticfox
20,animal_otherfox
20,animal_otherbear
34,animal_coyote
27,animal_domesticcat
25,animal_domesticcat
19,animal_other
32,animal_wolf
32,animal_redfox
32,animal_otherreptile
32,animal_raptor
23,animal_otherreptile
25,animal_wolf
25,animal_skunk
25,animal_horse
20,animal_kitsune
21,animal_otherreptile
28,animal_redfox
28,animal_kitsune
28,animal_cheetah
28,animal_otherfeline
28,animal_riverotter
28,animal_othermustelid
28,animal_bat
23,animal_other
23,animal_otherbird
29,animal_horse
25,animal_wolf
19,animal_raccoon
23,animal_cougar
23,animal_domesticcat
23,animal_otherfeline
21,animal_wolf
26,animal_redfox
26,animal_raccoon
22,animal_dragon
24,animal_wolf
24,animal_husky
24,animal_bat
35,animal_riverotter
21,animal_otherfeline
21,animal_other
28,animal_dragon
30,animal_riverotter
20,animal_other
24,animal_wolf
24,animal_other
25,animal_snowleopard
25,animal_domesticcat
24,animal_redfox
21,animal_other
23,animal_wolf
25,animal_skunk
18,animal_dragon
18,animal_raccoon
22,animal_lion
25,animal_snowleopard
25,animal_cheetah
57,animal_otherungulate
1,animal_other
25,animal_greyfox
25,animal_arcticfox
25,animal_husky
25,animal_rabbit
27,animal_wolf
18,animal_wolf
18,animal_hyaena
31,animal_dragon
22,animal_raccoon
26,animal_rat
22,animal_domesticcat
28,animal_lion
26,animal_raccoon
26,animal_othermusteloid
28,animal_wolf
22,animal_cheetah
22,animal_coyote
28,animal_wolf
20,animal_bat
25,animal_wolf
32,animal_redfox
16,animal_otherreptile
16,animal_otherbird
22,animal_otherfox
22,animal_wolf
22,animal_otherdog
22,animal_otherungulate
22,animal_other
30,animal_domesticcat
19,animal_othercanine
18,animal_kitsune
19,animal_husky
25,animal_snowleopard
23,animal_hyaena
31,animal_wolf
31,animal_redfox
31,animal_husky
23,animal_hyaena
27,animal_domesticcat
26,animal_domesticcat
24,animal_tiger
24,animal_dragon
23,animal_redfox
22,animal_lion
45,animal_otherdog
26,animal_otherdog
23,animal_wolf
23,animal_otherdog
30,animal_tiger
30,animal_lion
34,animal_wolf
34,animal_othermustelid
34,animal_lion
38,animal_otherfeline
38,animal_brownbear
22,animal_wolf
22,animal_germanshepherd
22,animal_dragon
24,animal_otherfeline
42,animal_raccoon
42,animal_othermustelid
42,animal_rat
42,animal_kangaroo
31,animal_wolf
31,animal_lion
24,animal_redfox
35,animal_husky
19,animal_othermusteloid
27,animal_husky
27,animal_otherdog
21,animal_pandabear
27,animal_other
19,animal_dragon
19,animal_lizard
24,animal_domesticcat
17,animal_horse
17,animal_other
17,animal_rabbit
17,animal_koala
17,animal_otherprimate
17,animal_griffin
40,animal_riverotter
23,animal_wolf
23,animal_otherdog
47,animal_wolf
19,animal_rabbit
20,animal_raven
26,animal_deer
20,animal_otherreptile
24,animal_wolf
20,animal_domesticcat
34,animal_husky
21,animal_domesticcat
21,animal_raccoon
21,animal_other
32,animal_dragon
19,animal_redfox
26,animal_othermarsupial
26,animal_wolf
26,animal_coyote
26,animal_jackal
28,animal_kitsune
24,animal_otherfox
24,animal_other
30,animal_other
21,animal_redfox
21,animal_otherdog
27,animal_otherfeline
26,animal_arcticfox
23,animal_redfox
23,animal_otherfox
23,animal_raccoon
19,animal_wolf
23,animal_domesticcat
23,animal_weasel
26,animal_lizard
32,animal_wolf
24,animal_otherungulate
24,animal_rabbit
24,animal_hyaena
16,animal_othercanine
16,animal_other
20,animal_kitsune
24,animal_cheetah
19,animal_deer
17,animal_domesticcat
17,animal_other
23,animal_dragon
22,animal_wolf
