furry_status,age,gender,gender_alignment,orientation,country,religion,occupation,education,howfurry,howoften_write,howoften_draw,opinion_artwork,opinion_writing,opinion_online_communities,opinion_conventions,opinion_fursuiting,importance_artwork,importance_writing,importance_online_communities,importance_conventions,importance_fursuiting
furry,28,"Male, completely",cisgender,"Bisexual, leaning homosexual",sg,Agnostic,professional,graduate_university,10,Never,Never,10,10,,,,9,9,9,10,10
furry_adjacent,17,"Male, completely",cisgender,"Bisexual, leaning heterosexual",sg,Agnostic,student,ongoing_highschool,7,Never,Never,8,9,,8,8,7,7,9,8,9
fur_fan,21,"Male, completely",cisgender,Completely heterosexual,sg,"Christian, Protestant",government_armed_service,graduate_highschool,2,Never,Never,6,9,,5,8,9,8,6,9,10
furry,30,"Male, completely",cisgender,"Bisexual, leaning heterosexual",sg,,student,ongoing_postcollege,7,Never,Never,10,8,,9,10,10,9,10,9,8
Other,23,"Female, completely",cisgender,Bisexual,sg,"Christian, Catholic",unemployed,Other,5,Weekly,Weekly,8,5,,9,10,5,5,7,7,8
furry,29,"Male, completely",cisgender,Mostly homosexual,my,Buddhist,student,ongoing_university,7,Never,Less than once a year,8,8,,9,9,8,8,8,8,7
furry_adjacent,22,"Male, completely",cisgender,"Bisexual, leaning heterosexual",ph,"Christian, Catholic",student,ongoing_university,6,Never,Weekly,4,3,,7,4,10,7,9,8,8
furry,20,"Male, completely",cisgender,Completely heterosexual,sg,"Christian, Catholic",student,ongoing_highschool,5,Never,Several times a year,7,6,,6,7,5,5,5,5,5
furry,23,"Male, completely",cisgender,"Bisexual, leaning heterosexual",sg,"Christian, Protestant",professional,graduate_university,9,Yearly,Several times a year,10,9,,9,10,10,9,10,9,8
fur_fan,21,"Male, completely",cisgender,Completely heterosexual,sg,Buddhist,student,graduate_highschool,10,Never,Less than once a year,8,6,,10,10,9,10,10,10,10
furry,17,Equal parts male and female,transgender,Bisexual,ph,"Christian, Catholic",student,ongoing_highschool,10,Never,Daily,10,10,,10,10,10,10,10,10,10
fur_fan,21,Mostly male,cisgender,"Bisexual, leaning heterosexual",ph,Agnostic,student,ongoing_university,4,Several times a year,Never,8,7,,7,8,7,6,8,7,8
furry,20,"Male, completely",cisgender,Bisexual,sg,Atheist,student,graduate_highschool,4,Never,Never,9,6,,8,9,10,7,10,10,10
furry,18,"Male, completely",cisgender,Completely heterosexual,sg,,student,ongoing_highschool,2,Less than once a year,Never,10,10,,8,8,10,8,10,8,8
furry,21,"Male, completely",cisgender,"Bisexual, leaning homosexual",sg,Atheist,student,technical_college,8,Never,Daily,10,9,,8,10,10,8,10,9,8
furry,25,Mostly male,cisgender,Pansexual,th,Buddhist,student,graduate_university,7,Never,Several times a month,10,7,,8,10,9,8,9,8,9
furry_related,23,"Male, completely",cisgender,Completely heterosexual,my,Atheist,student,ongoing_university,3,,,6,,,,,8,,8,10,7
furry,20,"Male, completely",cisgender,Bisexual,my,Muslim,student,technical_college,9,Several times a month,Several times a month,9,10,,10,10,10,10,8,10,10
furry,17,"Male, completely",cisgender,Mostly heterosexual,id,Muslim,student,ongoing_highschool,8,Never,Never,9,5,,7,7,9,8,8,9,
furry,23,"Male, completely",cisgender,Completely heterosexual,sg,Atheist,unemployed,some_highschool,7,Weekly,Several times a month,8,6,,5,6,8,8,8,9,8
furry,15,"Male, completely",cisgender,Completely homosexual,sg,Atheist,student,some_highschool,8,Never,Daily,8,8,,8,8,10,10,10,10,10
furry,15,"Male, completely",cisgender,Bisexual,sg,Atheist,student,ongoing_highschool,7,Never,Several times a month,10,10,,10,10,8,7,10,7,6
furry,18,"Male, completely",cisgender,"Bisexual, leaning heterosexual",sg,Atheist,student,ongoing_university,9,Weekly,Weekly,10,10,,10,10,10,10,10,9,9
furry,24,"Male, completely",cisgender,Completely homosexual,sg,Atheist,student,ongoing_university,2,Several times a year,Several times a year,10,1,,10,10,8,2,10,9,10
furry,22,"Male, completely",cisgender,Completely homosexual,my,"Christian, Protestant",student,ongoing_university,10,Never,Never,10,10,,10,10,10,10,10,10,10
furry,18,Mostly male,cisgender,"Bisexual, leaning heterosexual",sg,Atheist,student,ongoing_highschool,10,Less than once a year,Weekly,10,10,,9,10,10,8,9,7,7
furry,17,"Male, completely",cisgender,"Bisexual, leaning heterosexual",id,"Christian, Catholic",student,graduate_highschool,4,Weekly,Daily,10,9,,10,10,8,8,10,10,9
furry,19,"Male, completely",cisgender,Asexual,my,"Christian, Protestant",student,graduate_highschool,5,Several times a month,Weekly,8,8,,8,8,9,9,9,8,8
fur_fan,28,Mostly male,cisgender,Bisexual,sg,Atheist,technical_it,technical_college,8,Yearly,Weekly,7,7,,8,8,10,10,10,10,10
furry_lifestyler,27,"Male, completely",cisgender,Bisexual,sg,,unemployed,Other,8,Never,Never,8,8,,9,9,8,5,5,5,8
furry,32,"Male, completely",cisgender,Mostly homosexual,my,Muslim,technical_it,graduate_postcollege,10,Several times a month,Several times a year,10,10,,7,8,10,10,8,9,8
furry,16,"Male, completely",cisgender,Mostly homosexual,vn,Buddhist,student,ongoing_highschool,7,Several times a year,Never,8,9,,10,9,7,7,9,10,9
furry,21,"Male, completely",cisgender,Mostly homosexual,my,Agnostic,student,ongoing_university,7,Less than once a year,Never,8,8,,5,3,9,6,8,8,7
Other,22,"Female, completely",cisgender,Completely heterosexual,id,,technical_it,graduate_highschool,7,Never,Daily,10,9,,10,9,10,9,10,10,10
furry,16,"Male, completely",cisgender,"Bisexual, leaning heterosexual",ph,Atheist,student,ongoing_highschool,4,Never,Weekly,10,8,,9,10,9,9,7,10,8
furry,18,"Male, completely",cisgender,"Bisexual, leaning homosexual",id,Muslim,student,ongoing_highschool,8,Several times a year,Weekly,10,10,,9,7,9,9,10,8,6
fur_fan,18,"Male, completely",cisgender,Completely heterosexual,my,Buddhist,student,ongoing_highschool,2,Never,Never,10,6,,6,10,10,5,8,10,8
fur_fan,1,"Male, completely",cisgender,Bisexual,id,"Christian, Protestant",student,some_highschool,9,Never,Never,6,8,,7,8,7,2,7,8,9
furry,23,"Male, completely",cisgender,Completely heterosexual,id,Atheist,unemployed,graduate_university,7,Never,Several times a month,7,,,,7,10,3,10,10,7
furry,16,"Male, completely",cisgender,Asexual,ph,Atheist,student,ongoing_highschool,6,Never,Weekly,10,8,,9,9,10,6,10,9,10
furry,17,Equal parts male and female,complicated,Completely homosexual,my,Agnostic,student,ongoing_highschool,8,Several times a year,Several times a month,10,8,,9,9,10,8,10,10,8
furry,20,"Male, completely",cisgender,"Bisexual, leaning homosexual",my,"Christian, Catholic",student,technical_college,10,Never,Several times a year,10,10,,10,10,10,10,10,10,10
fur_fan,25,"Male, completely",cisgender,Completely homosexual,my,Atheist,professional,graduate_university,7,Never,Never,10,1,,7,9,10,5,9,10,10
furry,33,"Male, completely",cisgender,"Bisexual, leaning heterosexual",my,Atheist,creative_furry,technical_college,7,Never,Several times a month,5,5,,8,8,8,8,8,10,10
furry_lifestyler,25,Mostly female,transgender,Pansexual,ph,"Christian, Catholic",student,ongoing_university,10,Monthly,Daily,10,10,,10,10,10,10,10,10,10
furry,20,"Male, completely",cisgender,"Bisexual, leaning heterosexual",my,"Christian, Protestant",student,ongoing_highschool,5,Less than once a year,Weekly,7,6,,8,8,9,8,10,8,9
fur_fan,24,"Male, completely",cisgender,Completely heterosexual,my,Muslim,Other,graduate_university,7,Never,Never,10,9,,9,8,10,10,10,10,10
furry_lifestyler,14,"Female, completely",complicated,Other,my,Muslim,creative_furry,ongoing_highschool,8,Yearly,Daily,5,5,,10,10,3,5,5,5,4
furry,18,Mostly female,transgender,Pansexual,ph,Atheist,student,ongoing_highschool,9,Never,Never,10,10,,10,10,10,10,10,10,10
furry,20,"Male, completely",cisgender,"Bisexual, leaning heterosexual",sg,Agnostic,student,graduate_highschool,10,Several times a year,Monthly,10,10,,10,10,10,10,10,10,10
furry,20,Mostly male,complicated,Completely homosexual,sg,Muslim,student,technical_college,10,Never,Yearly,10,4,,5,5,8,4,3,10,10
Other,20,"Male, completely",cisgender,Completely heterosexual,ph,"Christian, Protestant",student,ongoing_university,10,Less than once a year,Daily,10,10,,8,10,10,10,10,10,10
furry_adjacent,18,"Male, completely",cisgender,Mostly homosexual,id,,student,ongoing_highschool,6,Never,Never,9,8,,10,10,10,8,8,8,8
furry,23,"Male, completely",cisgender,"Bisexual, leaning heterosexual",id,Muslim,student,some_university,9,Several times a year,Daily,9,9,,6,5,9,6,8,3,4
furry,15,"Male, completely",cisgender,Completely homosexual,sg,Agnostic,student,ongoing_highschool,5,Never,Never,9,9,,10,10,10,9,9,8,7
nonfurry,14,"Female, completely",cisgender,Completely heterosexual,sg,"Christian, Catholic",student,ongoing_highschool,1,Never,Never,2,1,,1,1,10,1,10,7,1
furry,14,"Male, completely",cisgender,Asexual,sg,"Christian, Protestant",student,ongoing_highschool,8,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,18,"Male, completely",cisgender,"Bisexual, leaning homosexual",ph,"Christian, Catholic",student,ongoing_highschool,9,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,21,"Male, completely",cisgender,Completely homosexual,mm,Buddhist,student,ongoing_university,7,Never,Several times a month,10,10,,10,10,10,4,10,10,4
furry_related,20,"Male, completely",cisgender,Mostly heterosexual,ph,Agnostic,student,ongoing_university,5,Never,Never,10,7,,,1,10,10,5,7,3
nonfurry,21,"Male, completely",,Mostly heterosexual,ph,"Christian, Catholic",unemployed,graduate_highschool,1,,,10,6,,1,1,,,,,
furry,14,"Male, completely",cisgender,Completely homosexual,id,Atheist,student,ongoing_highschool,6,Never,Daily,10,7,,8,9,8,7,10,10,9
fur_fan,20,"Male, completely",cisgender,Completely heterosexual,id,Muslim,student,ongoing_university,5,Never,Monthly,9,7,,9,10,8,8,7,9,10
